method,evaluation,best_score,best_params
differential_evolution,1,0.0006376331509277905,"[1.288093606893548, 1.7984770858719907, 0.743882500192356]"
differential_evolution,2,0.0006376331509277905,"[1.288093606893548, 1.7984770858719907, 0.743882500192356]"
differential_evolution,3,0.0007425669345114505,"[2.873973893887684, 1.79720976090271, 6.016575837822245]"
differential_evolution,4,0.002361008449890653,"[2.3978458834247327, 2.9675781182158407, 1.7676665320916942]"
differential_evolution,5,0.002361008449890653,"[2.3978458834247327, 2.9675781182158407, 1.7676665320916942]"
differential_evolution,6,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,7,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,8,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,9,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,10,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,11,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,12,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,13,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,14,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,15,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,16,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,17,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,18,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,19,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,20,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,21,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,22,0.0029224958889510553,"[2.251284415175423, 2.4423087653344115, 4.7631926848752215]"
differential_evolution,23,0.01101799143516467,"[1.05, 1.9493485832811916, 5.275364380606814]"
differential_evolution,24,0.01101799143516467,"[1.05, 1.9493485832811916, 5.275364380606814]"
differential_evolution,25,0.01622419668658332,"[3.1203281329919754, 2.606198276445241, 1.926180012692269]"
differential_evolution,26,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,27,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,28,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,29,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,30,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,31,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,32,0.016449208896276758,"[1.53004512000505, 2.0796491041895155, 3.9178946718640937]"
differential_evolution,33,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,34,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,35,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,36,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,37,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,38,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,39,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,40,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,41,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,42,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,43,0.08196708699951452,"[1.05, 1.094177835788327, 5.588904927825883]"
differential_evolution,44,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,45,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,46,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,47,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,48,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,49,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,50,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,51,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,52,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,53,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,54,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,55,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,56,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,57,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,58,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,59,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
differential_evolution,60,0.16677312151482085,"[1.0599487844832218, 2.6350647923032637, 0.44965974343070014]"
random_search,1,0.0011962513150184715,"[3.2809836660988125, 1.2804035811001944, 3.536896020666067]"
random_search,2,0.0011962513150184715,"[3.2809836660988125, 1.2804035811001944, 3.536896020666067]"
random_search,3,0.0011962513150184715,"[3.2809836660988125, 1.2804035811001944, 3.536896020666067]"
random_search,4,0.00903541357712471,"[1.7177873968429127, 1.1658173529681075, 3.4489582788162574]"
random_search,5,0.00903541357712471,"[1.7177873968429127, 1.1658173529681075, 3.4489582788162574]"
random_search,6,0.00903541357712471,"[1.7177873968429127, 1.1658173529681075, 3.4489582788162574]"
random_search,7,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,8,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,9,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,10,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,11,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,12,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,13,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,14,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,15,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,16,0.10906756139943763,"[1.2019949004368196, 0.5518160866638662, 4.594645096008699]"
random_search,17,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,18,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,19,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,20,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,21,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,22,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,23,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,24,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,25,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,26,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,27,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,28,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,29,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,30,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,31,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,32,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,33,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,34,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,35,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,36,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,37,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,38,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,39,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,40,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,41,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,42,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,43,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,44,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,45,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,46,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,47,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,48,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,49,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,50,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,51,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,52,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,53,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,54,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,55,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,56,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,57,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,58,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,59,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
random_search,60,0.21293673759695608,"[1.078763939772611, 2.589308869104106, 6.10334507722074]"
