replicate,method,train_aggregate_score,validation_aggregate_score,frozen_test_aggregate_score,params
0,normalized_de,0.22180875955358464,0.22039678888276265,0.20558637998890822,"[4.0, 0.9643733975150315, 1.6644212993602738, 1.0751112761522992, 0.6828565577666376]"
0,unnormalized_de,0.23976059824083548,0.21633960975297417,0.18809837957501865,"[1.05, 0.6865686110292313, 1.5686567771483289, 6.283185307179586, 5.627575902369224]"
0,normalized_random,0.3587652952853935,0.3407256387331723,0.30765726640942065,"[3.1015825262659, 2.536118192741567, 2.996346042393232, 0.9293317026831108, 2.9047868416352105]"
1,normalized_de,0.3661759849149244,0.2500368460957152,0.23822252540654804,"[4.0, 0.7376073442423259, 1.8354744209236808, 0.7785510159581445, 0.0]"
1,unnormalized_de,0.26755641797944835,0.1878721649994955,0.14012805250681382,"[2.0373073999340012, 0.0, 0.47872731380240113, 3.6412212494179435, 2.3252459026376275]"
1,normalized_random,0.21903159493351212,0.19216291945571415,0.20494935010478263,"[2.7193065020919978, 2.5656408070501304, 2.6614006074791585, 0.9017115785115947, 3.29737511677743]"
2,normalized_de,0.4145951307203537,0.23262741674498644,0.20849520945558236,"[1.05, 2.139006924159133, 2.5026046777197037, 0.0, 0.8465995756279319]"
2,unnormalized_de,0.26981119926479524,0.0643235728946719,0.054941898933853844,"[1.7823304533515978, 0.0, 2.5795197597506196, 3.902513222616935, 3.4112300346218465]"
2,normalized_random,0.36099779765343687,0.25539923989819224,0.262349617301459,"[3.7169846854004627, 0.3503302214755922, 2.2375022717958393, 0.7621222947317384, 0.14649971439927484]"
3,normalized_de,0.38138385758250015,0.27191164778228366,0.2604130768058265,"[4.0, 2.448156668237666, 0.0, 0.8118528793159316, 0.38167669947599436]"
3,unnormalized_de,0.32486886716161506,0.25921395903012295,0.19626466147165014,"[1.05, 3.141592653589793, 2.5754469966137323, 0.0, 6.283185307179586]"
3,normalized_random,0.44336176678115574,0.29351995578248014,0.29931043302286814,"[1.9488546316114947, 2.2526144445369565, 2.99252951562939, 0.6319574385612516, 4.492868468026938]"
