method,replicate,evaluation,params,score,approximation_ratio_unconditional,optimal_probability,feasible_probability,expected_feasible_size_unconditional,expected_size_given_feasible
random_search,10,220,"[2.3495469253053116, 1.6206647190342554, 2.1761104343928688, 2.7785244613347455, 5.292574692657534]",0.3881425130163898,0.3136120308237776,0.005763668533740811,0.73089565059177,1.2544481232951104,1.7163163062736053
differential_evolution,0,91,"[2.495633348291056, 0.7610720719519987, 1.4996074832953967, 2.3936353808432145, 3.157344573731585]",0.3708070377106632,0.30610229433194824,0.028253913517723963,0.5764126499928396,1.224409177327793,2.1241885953457182
differential_evolution,8,296,"[1.05, 0.7308448605459139, 0.0, 5.651489414604734, 5.315842153167111]",0.3544670352536354,0.2881931255680625,0.02164018470688865,0.6086386350885076,1.15277250227225,1.8940179538629107
differential_evolution,2,52,"[1.05, 0.0, 0.7851891889916487, 1.740457600297548, 4.009370926315703]",0.34921680345428713,0.2861164688030292,0.03059322523895034,0.5545202834152035,1.1444658752121168,2.063884603397248
differential_evolution,3,71,"[3.525037989386004, 1.289917770636055, 0.807879084845577, 0.0, 3.644332692716326]",0.3511733653016451,0.2828173982665968,0.01790773724161898,0.6387903272464357,1.1312695930663872,1.770956047413599
random_search,0,178,"[2.4076359049033313, 2.11920154479987, 0.701338920457296, 5.148901904175934, 5.038692702926376]",0.34913298806563475,0.28010142837571883,0.011660016695585461,0.661165555160196,1.1204057135028753,1.6945917777453008
differential_evolution,9,122,"[1.9602421088743878, 0.547052624137416, 0.0, 6.283185307179586, 4.91236523761497]",0.3462074737796218,0.2778046557830966,0.014715716364900853,0.6472388890529999,1.1112186231323864,1.7168600989941336
differential_evolution,4,84,"[1.05, 2.3921343239808697, 2.846611939251989, 0.15317520233737036, 6.283185307179586]",0.3365652559319334,0.2723564184712875,0.022137127709642643,0.5867455553323524,1.08942567388515,1.8567259078222802
differential_evolution,5,238,"[2.9423019268914024, 1.506643977430942, 2.3801330361438406, 4.214750048318843, 4.290690342259454]",0.35341096963694324,0.2670645853854652,0.005043552196141702,0.8508549620244266,1.0682583415418607,1.255511678512363
differential_evolution,2,172,"[1.05, 0.05147157219536789, 2.348808845659553, 0.2704795303172687, 5.881008949563214]",0.347459187046133,0.2669847572604808,0.008036139998065062,0.7846539478613588,1.0679390290419233,1.3610318688291598
differential_evolution,8,212,"[1.05, 2.5134429998564216, 0.17364013728038652, 6.2384256602485975, 5.305794650556891]",0.29818302611176517,0.2439898708391039,0.03306255573288725,0.459275163394395,0.9759594833564156,2.1249994799268657
random_search,1,76,"[3.313481738246807, 2.157231932815664, 1.4960935403875444, 5.600884177436118, 2.773287096187767]",0.2905533750534528,0.24260042617622746,0.03896749077966112,0.3821107618231005,0.9704017047049098,2.5395822406963786
random_search,7,141,"[3.5172492249686362, 2.644636482755323, 2.889589792196988, 0.0460624611243538, 2.2853025722090488]",0.2824638687653186,0.22992676011976493,0.07056260633286052,0.3489645706233852,0.9197070404790597,2.6355312771038863
differential_evolution,8,269,"[1.05, 2.9059871038236595, 2.640214848492752, 6.247377589634795, 5.842633145774725]",0.2286272376594013,0.1419770761183379,0.00027991129559709095,0.865801837171641,0.5679083044733516,0.6559333557532825
random_search,5,135,"[1.3505294110007666, 2.2086339100531656, 2.9202559723426247, 4.6246121170296455, 3.716725998102697]",0.1428171027748427,0.04790743336311349,1.9599846470323124e-06,0.9490917941556745,0.19162973345245396,0.2019085346986173
differential_evolution,2,123,"[2.888128371752967, 0.0, 2.2849337705414245, 0.5810099353452496, 3.7566144232781142]",0.14156545955792088,0.04447921540057471,1.5144803008297331e-06,0.9708586553727095,0.17791686160229883,0.18325722350798543
