bond,threshold,method,shots,bks_hits,near_bks_hits,feasible_hits,bks_rate,near_bks_rate,feasible_rate,quality_mass,runtime_seconds,bks_rate_wilson_low,bks_rate_wilson_high,near_bks_rate_wilson_low,near_bks_rate_wilson_high,feasible_rate_wilson_low,feasible_rate_wilson_high
64,0.001,published_lr,15000,41,1682,7519,0.0027333333333333333,0.11213333333333333,0.5012666666666666,0.48961742424242544,,0.002015584035138357,0.003705724033056658,0.10718277457262229,0.11728251170446025,0.4932657259647923,0.5092669587311058
64,0.001,matched_random_search,15000,101,2355,13527,0.006733333333333333,0.157,0.9018,0.878653787878795,,0.005544961658339511,0.008174298081112818,0.15126588020246173,0.16290976398722365,0.896934271300335,0.9064599740774621
64,0.0003,published_lr,10000,116,1542,4805,0.0116,0.1542,0.4805,0.4701534090908921,36.1616362,0.00968088426403769,0.013894219124244666,0.1472545539371257,0.16141102909249763,0.4707168215259394,0.49029815496069334
64,0.0003,matched_random_search,10000,161,1949,8129,0.0161,0.1949,0.8129,0.7933624999999823,45.3541107,0.013812447111435729,0.018759200164546727,0.18725374433344746,0.20278058008048566,0.8051365268425268,0.8204231581488868
64,0.0001,published_lr,10000,153,1546,4809,0.0153,0.1546,0.4809,0.4705738636363474,68.0462005,0.013073633776166924,0.01789862791977996,0.14764690730495458,0.1618183685146865,0.4711163652457401,0.4906983040309105
64,0.0001,matched_random_search,10000,109,1621,7351,0.0109,0.1621,0.7351,0.7169727272727076,80.6677082,0.009044443879129444,0.013131197126621787,0.15500654589729698,0.16945296973517762,0.7263618213122307,0.7436576160207234
96,0.001,published_lr,10000,19,1188,5055,0.0019,0.1188,0.5055,0.49378863636362347,13.5717309,0.0012167343542042717,0.0029658188761467565,0.11260427439180866,0.12528849672124057,0.4957003623496237,0.5152954135131208
96,0.001,matched_random_search,10000,70,1661,8925,0.007,0.1661,0.8925,0.870145454545447,23.9742714,0.005544595653529792,0.008834040649548016,0.15893395603997235,0.17352248749268012,0.886277511342378,0.8984210388625752
96,0.0001,published_lr,10000,152,1710,4799,0.0152,0.171,0.4799,0.46996704545452783,146.3986626,0.012981397657459573,0.017790940840982865,0.16374709985581773,0.1785055803545527,0.4701175177265082,0.4896979195750979
96,0.0001,matched_random_search,10000,134,1808,7121,0.0134,0.1808,0.7121,0.69528295454544,200.5709938,0.01132594677199233,0.01584777417137007,0.1733799223823171,0.18846523118348904,0.7031453096844087,0.7208917922225226
