n,polynomial_degree,finite_field_rank
3,0,0
3,1,0
3,2,1
3,3,2
3,4,3
3,5,4
3,6,5
4,0,0
4,1,0
4,2,1
4,3,2
4,4,3
4,5,4
4,6,5
4,7,6
4,8,7
4,9,8
4,10,9
4,11,10
4,12,11
4,13,12
4,14,13
4,15,14
4,16,15
4,17,16
4,18,17
5,0,0
5,1,0
5,2,1
5,3,2
5,4,3
5,5,4
5,6,5
5,7,6
5,8,7
5,9,8
5,10,9
5,11,10
5,12,11
5,13,12
5,14,13
5,15,14
5,16,15
5,17,16
5,18,17
5,19,18
5,20,19
5,21,20
5,22,21
5,23,22
5,24,23
5,25,24
5,26,25
5,27,26
5,28,27
5,29,28
5,30,29
5,31,30
5,32,31
5,33,32
5,34,33
5,35,34
5,36,35
5,37,36
5,38,37
5,39,38
5,40,39
5,41,40
5,42,41
5,43,42
5,44,43
5,45,44
5,46,45
5,47,46
5,48,47
5,49,48
5,50,49
6,0,0
6,1,0
6,2,1
6,3,2
6,4,3
6,5,4
6,6,5
6,7,6
6,8,7
6,9,8
6,10,9
6,11,10
6,12,11
6,13,12
6,14,13
6,15,14
6,16,15
6,17,16
6,18,17
6,19,18
6,20,19
6,21,20
6,22,21
6,23,22
6,24,23
6,25,24
6,26,25
6,27,26
6,28,27
6,29,28
6,30,29
6,31,30
6,32,31
6,33,32
6,34,33
6,35,34
6,36,35
6,37,36
6,38,37
6,39,38
6,40,39
6,41,40
6,42,41
6,43,42
6,44,43
6,45,44
6,46,45
6,47,46
6,48,47
6,49,48
6,50,49
6,51,50
6,52,51
6,53,52
6,54,53
6,55,54
6,56,55
6,57,56
6,58,57
6,59,58
6,60,59
6,61,60
6,62,61
6,63,62
6,64,63
6,65,64
6,66,65
6,67,66
6,68,67
6,69,68
6,70,69
6,71,70
6,72,71
6,73,72
6,74,73
6,75,74
6,76,75
6,77,76
6,78,77
6,79,78
6,80,79
6,81,80
6,82,81
6,83,82
6,84,83
6,85,84
6,86,85
6,87,86
6,88,87
6,89,88
6,90,89
6,91,90
6,92,91
6,93,92
6,94,93
6,95,94
6,96,95
6,97,96
6,98,97
6,99,98
6,100,99
6,101,100
6,102,101
6,103,102
6,104,103
6,105,104
6,106,105
6,107,106
6,108,107
6,109,108
6,110,109
6,111,110
6,112,111
6,113,112
6,114,113
6,115,114
6,116,115
6,117,116
6,118,117
6,119,118
6,120,119
6,121,120
6,122,121
6,123,122
6,124,123
6,125,124
6,126,125
6,127,126
6,128,127
6,129,128
6,130,129
