shifts,common_shift_reduced,flux_rad,sin_flux,wilson_product_real,wilson_product_imag,edge_geometric_mean_rad_per_us,minimum_edge_rad_per_us,two_bit_leakage_ratio,frobenius_norm
"[-1, -1, -1, -1]",False,1.5705057445696022,0.9999999577809855,0.004599009264453002,15.82687698929364,1.9945678355348675,1.140341602993583,0.31286595460395766,32.85573858355434
"[-1, -1, -1, 0]",False,0.9013522272416046,0.7841667511403005,174.50411166747546,220.51452111443308,4.095030986326306,1.7320350466552152,0.4768327114485022,31.63727166956703
"[-1, -1, -1, 1]",False,0.6533496010468641,0.607849568834392,981.2343083707054,751.1380848028934,5.928992723912588,2.3360838239744357,0.6130199452580393,37.627311617647955
"[-1, -1, 0, -1]",False,-1.61959719775275,-0.9988094737973414,-12.63343558356948,-258.67171621271757,4.0115903032521985,2.474270820106815,0.7619687624444865,30.384921560073305
"[-1, -1, 0, 0]",False,2.241579116445507,0.7833353243795395,-367.18697725263155,462.72655105160857,4.929968871668252,2.2960318506864845,0.4948394002485687,29.063049720133208
"[-1, -1, 0, 1]",False,1.5682218016711282,0.9999966859120241,7.193627609620535,2794.1509094820162,7.270475652135433,2.986993954392504,0.4540248657199117,35.490258944005056
"[-1, -1, 1, -1]",False,-1.1530201469821009,-0.9139934677087284,762.453491500957,-1717.593962870002,6.584068692343161,4.289380128777316,0.8658109845189468,35.50306435516829
"[-1, -1, 1, 0]",False,-2.2059094294306485,-0.8050046013839418,-1067.5401371989376,-1448.5424838496929,6.513032098821331,2.6159763290884435,0.6444149141007708,34.37855406253074
"[-1, -1, 1, 1]",False,2.439629499011925,0.645717948315225,-2967.7971429714357,2509.717230035547,7.895788080039241,3.520594257738887,0.5389441534668307,39.95976226540825
"[-1, 0, -1, -1]",False,2.526590157145513,0.5769605613129986,-5.422225363813517,3.830212304498961,1.6051631458678741,0.6871105807591457,1.7804574491972576,25.755618940228626
"[-1, 0, -1, 0]",False,-1.8790157114627213,-0.9528752519542317,-46.16794453925331,-145.01563067260844,3.5123249764615494,2.6192669447528756,1.2738034153628168,24.18200380070665
"[-1, 0, -1, 1]",False,-1.9044072100264184,-0.9448660970642391,-227.86451228451557,-657.495429089622,5.136066260321314,3.009749163696697,1.197689051336182,31.61750984336032
"[-1, 0, 0, -1]",False,2.236362624841107,0.7865672195863089,-102.62901070326052,130.72713520831925,3.590521033801185,1.2380971940977255,0.9142310907834861,22.518787874466287
"[-1, 0, 0, 0]",False,-1.3688112183030319,-0.9796702668727756,53.81871726959416,-262.8155156813757,4.047089123493902,1.8336067957209128,1.0533138935366735,20.700560575944248
"[-1, 0, 0, 1]",False,-2.2476265447750428,-0.7795619459002993,-845.85208030445,-1052.7983928651051,6.062107668703295,2.8350241659832385,0.9264574256067132,29.04153627196628
"[-1, 0, 1, -1]",False,1.5323965877954844,0.9992628206124391,37.43123075227845,974.2990960326727,5.587958121279017,1.8220859986574305,0.856533915963174,29.057183754290843
"[-1, 0, 1, 0]",False,-0.4545376301926618,-0.43904693806670464,1088.2832574750219,-531.8046853280359,5.899433386254059,3.553297768478009,0.8618730801013265,27.671959246749246
"[-1, 0, 1, 1]",False,-1.9814607240304274,-0.9168557854810997,-728.0519044164231,-1672.06299174082,6.534884275897682,3.066520046053025,0.9023429086051233,34.360368877987135
