interaction_rad_per_us,mask_contrast,interaction_times_contrast,chi,chi_over_mixed_term
0.02,0.01,0.0002,5.735513536025971e-06,0.028677567680129856
0.02,0.02,0.0004,1.1469276488179636e-05,0.02867319122044909
0.02,0.05,0.001,2.8642609852136403e-05,0.028642609852136403
0.02,0.1,0.002,5.706718534917443e-05,0.028533592674587216
0.02,0.2,0.004,0.00011240276554183581,0.028100691385458954
0.05,0.01,0.0005,1.4415815251189734e-05,0.02883163050237947
0.05,0.02,0.001,2.8827251832730383e-05,0.028827251832730383
0.05,0.05,0.0025000000000000005,7.199132913315864e-05,0.02879653165326345
0.05,0.1,0.005000000000000001,0.0001434352733039046,0.028687054660780913
0.05,0.2,0.010000000000000002,0.0002825232739720185,0.02825232739720184
0.1,0.01,0.001,2.908763491246691e-05,0.02908763491246691
0.1,0.02,0.002,5.816650841233839e-05,0.029083254206169196
0.1,0.05,0.005000000000000001,0.00014526143832110927,0.029052287664221847
0.1,0.1,0.010000000000000002,0.0002894203696909847,0.028942036969098466
0.1,0.2,0.020000000000000004,0.000570086037773615,0.028504301888680743
0.2,0.01,0.002,5.919340722360111e-05,0.029596703611800557
0.2,0.02,0.004,0.00011836889055460986,0.029592222638652466
0.2,0.05,0.010000000000000002,0.0002956082585195141,0.029560825851951404
0.2,0.1,0.020000000000000004,0.0005889824094020557,0.02944912047010278
0.2,0.2,0.04000000000000001,0.0011602161160486069,0.029005402901215165
0.4,0.01,0.004,0.0001224109534691542,0.03060273836728855
0.4,0.02,0.008,0.00024478512511325046,0.030598140639156307
0.4,0.05,0.020000000000000004,0.0006113192169828752,0.03056596084914375
0.4,0.1,0.04000000000000001,0.0012180495234737632,0.030451238086844072
0.4,0.2,0.08000000000000002,0.002399656950786977,0.029995711884837205
0.8,0.01,0.008,0.0002605084454810891,0.032563555685136136
0.8,0.02,0.016,0.0005209396177355274,0.032558726108470465
0.8,0.05,0.04000000000000001,0.0013009973759492144,0.03252493439873035
0.8,0.1,0.08000000000000002,0.0025923581166306664,0.03240447645788332
0.8,0.2,0.16000000000000003,0.00510818304368113,0.03192614402300706
