cohort,geometry,n,target_id,vertices,edges,faces,physical_frequency_width_rad_per_us,normalized_min_gap,raw_spectral_cost,max_abs_flux_rad,median_abs_flux_rad,success,status,message,elapsed_seconds,objective_upper,objective_lower,mip_gap,mip_node_count,achieved_cost,circular_total_variation,constraint_error,gauge_to_raw_ratio_upper,certified_time_width_lower_rho_0p2
development,geometry_A,3,0,8,12,6,9.878197345461516,0.010904372674127916,30.115784592517873,0.829726886534535,0.5265565870178077,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.027854200001456775,5.776945400676087,5.776945400676087,0.0,32,5.776945400676099,4.733043789122453,1.1546319456101628e-14,0.1918245026268166,0.7355435331916713
development,geometry_A,3,1,8,12,6,9.878197345461516,0.010904372674127916,24.392441942692,0.28897544432323746,0.1574292429118434,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00801040000806097,2.5090940406797966,2.5090940406797966,0.0,1,2.5090940406798494,2.378611639590122,5.284661597215745e-14,0.102863585637498,0.3194677754052854
development,geometry_A,3,2,8,12,6,9.878197345461516,0.010904372674127916,9.72046574524469,0.497234523257631,0.25971365783020606,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.031304699994507246,2.642574291575194,2.642574291575194,0.0,97,2.6425742915755266,1.7033199421291372,3.326228181776969e-13,0.2718567567472739,0.3364630087934045
development,geometry_A,3,3,8,12,6,9.878197345461516,0.010904372674127916,10.85394397546183,0.9482032327347927,0.26313775770722125,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.009918499999912456,8.23298701445026,8.23298701445026,0.0,1,8.232987014450387,6.911705297513773,1.2789769243681803e-13,0.7585249226514411,1.0482564638089154
development,geometry_A,4,0,16,32,24,16.619138297314564,0.001617445564784381,227.1568335593949,0.8207463323110162,0.33653490102186784,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2112416000018129,93.84806155459314,93.84806155459314,0.0,632,93.84806155459361,33.47043989075689,4.689582056016661e-13,0.4131421453806038,11.94910631680477
development,geometry_A,4,1,16,32,24,16.619138297314564,0.001617445564784381,313.9409306349706,0.7434698890303519,0.26453181815684135,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.06575330000487156,116.83693698078417,116.83693698078417,0.0,1,116.83693698078467,32.70999593280404,4.973799150320701e-13,0.3721621667632575,14.876140844966454
development,geometry_A,4,2,16,32,24,16.619138297314564,0.001617445564784381,139.4121431039136,0.7749544636578453,0.28412341070352964,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.045339300006162375,106.54231308922638,106.54231308922638,0.0,1,106.54231308922851,29.32018127452535,2.1316282072803006e-12,0.7642254879462901,13.565388621275776
development,geometry_A,4,3,16,32,24,16.619138297314564,0.001617445564784381,169.19277987526146,0.9094862533941661,0.12812461933891006,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.06725690000166651,74.48783312191034,74.48783312191034,0.0,113,74.48783312191678,20.372990437609143,6.437517185986508e-12,0.44025420692790207,9.48408547324499
development,geometry_A,5,0,32,80,80,26.16698366863759,2.892511041857615e-05,3536.970820800644,1.1146421226654477,0.28361005575201215,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.31991109999944456,405.9640282888832,405.9640282888832,0.0,131,405.9640282889057,59.66447688537447,2.2509993868879974e-11,0.11477731902718592,51.68894545573903
development,geometry_A,5,1,32,80,80,26.16698366863759,2.892511041857615e-05,2526.4153758919974,1.0917291581852204,0.3103809697753885,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.3658939999877475,329.05725177122025,329.05725177122025,0.0,149,329.0572517712288,55.64902243437607,8.526512829121202e-12,0.1302466945503926,41.89687054369923
development,geometry_A,5,2,32,80,80,26.16698366863759,2.892511041857615e-05,8737.574459016869,1.0542170796278214,0.31315401437010887,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.7782375999959186,285.11935136736804,285.11935136736804,0.0,1288,285.1193513674045,44.77385608709097,3.643663148977794e-11,0.03263140734361753,36.30252331301726
development,geometry_A,5,3,32,80,80,26.16698366863759,2.892511041857615e-05,2462.0401653148315,1.0560289501933224,0.22966239705312147,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.339757900001132,287.8233281164865,287.8233281164865,0.0,428,287.82332811650286,49.14459196922388,1.6370904631912708e-11,0.11690439992463783,36.64680432551946
development,geometry_A,6,0,64,192,240,26.188867348625642,2.8900940306469947e-05,2585.712119040913,1.2529813184746024,0.30108524754940363,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),17.699316700003692,1364.226568438841,1364.226568438841,0.0,4157,1364.2265684388515,107.67580429782015,1.0459189070388675e-11,0.5276018774065449,173.69872149146832
development,geometry_A,6,1,64,192,240,26.188867348625642,2.8900940306469947e-05,4025.4740267617813,0.9864377502351501,0.29546344167033173,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4.166307100007543,1099.3732562311045,1099.3732562311045,0.0,743,1099.3732562311172,90.93580719498789,1.2732925824820995e-11,0.2731040490939337,139.97655042577048
development,geometry_A,6,2,64,192,240,26.188867348625642,2.8900940306469947e-05,21231.08829895073,1.2289090131614,0.33097101524753525,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),14.717319600007613,1075.1786285457615,1075.1786285457615,0.0,2788,1075.1786285457738,97.53775013816971,1.2278178473934531e-11,0.05064171056171898,136.8959947518582
development,geometry_A,6,3,64,192,240,26.188867348625642,2.8900940306469947e-05,6497.106193701839,1.0709809206638343,0.2765517688353039,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),12.80846549999842,779.5869076587643,779.5869076587643,0.0,3002,779.5869076591563,116.04699104191725,3.9199221646413207e-10,0.11998986693714192,99.26008793889383
development,geometry_A,7,0,128,448,672,26.305036758776534,2.010653789352723e-06,76388.19415155727,1.221076018101806,0.2814071823814163,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),88.68072040000698,6697.196400277234,6697.196400277234,0.0,12353,6697.196400536076,309.7060815209228,2.588421921245754e-07,0.08767318660511499,852.7135295690956
development,geometry_A,7,1,128,448,672,26.305036758776534,2.010653789352723e-06,93870.56288978888,1.0613084196088989,0.2766031627578738,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),120.03854449999926,7774.360529699662,5636.528514824466,0.2749849337071823,13728,7774.360529699748,356.10965832105364,8.640199666842818e-11,0.08282000544544883,717.6651000101865
development,geometry_A,7,2,128,448,672,26.305036758776534,2.010653789352723e-06,52283.34536255438,1.060531105049994,0.28113007051931493,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),110.04312030000438,5250.63707343734,5250.63707343734,0.0,14715,5250.637073513636,289.542460479797,7.62956915423274e-08,0.10042657058432752,668.5318756952927
development,geometry_A,7,3,128,448,672,26.305036758776534,2.010653789352723e-06,213018.96204518818,1.1179014955251203,0.2945747875492808,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),101.87427339999704,7191.532348829411,7191.532348829411,0.0,10788,7191.532348829781,341.4253953959163,3.701643436215818e-10,0.033760057225815675,915.6543373771755
heldout,geometry_B,4,0,16,32,24,18.42931338620962,0.0018535220861152224,218.4374387799285,0.9721969385754775,0.36543724266974853,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11318739999842364,127.39122148122888,127.39122148122888,0.0,119,127.39122148123052,37.25494435535714,1.6342482922482304e-12,0.5831931659369669,16.219954084201614
heldout,geometry_B,4,1,16,32,24,18.42931338620962,0.0018535220861152224,193.42083463864915,0.9649929906123101,0.3163208326968159,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.14950309999403544,146.8642015629737,146.8642015629737,0.0,23,146.86420156297703,32.19964884515574,3.325340003357269e-12,0.7592987686013606,18.699330913593382
heldout,geometry_B,4,2,16,32,24,18.42931338620962,0.0018535220861152224,211.86480323176494,0.9097409245173593,0.26531401101408997,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.07193330000154674,85.43871599386087,85.43871599386087,0.0,13,85.4387159938633,24.3028284735764,2.4300561562995426e-12,0.40326998487047905,10.878395185478027
heldout,geometry_B,4,3,16,32,24,18.42931338620962,0.0018535220861152224,226.92244437462108,0.5762309255838758,0.2532168141801529,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.11076140000659507,103.73087252183868,103.73087252183868,0.0,108,103.73087252186542,27.715661036122153,2.674482857401017e-11,0.457120373472585,13.207424890468708
heldout,geometry_B,5,0,32,80,80,19.687009528023477,0.0,nan,0.9292594957410231,0.26720736103554654,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,5,1,32,80,80,19.687009528023477,0.0,nan,1.0131835510372098,0.3223912727695747,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,5,2,32,80,80,19.687009528023477,0.0,nan,0.9243767486074392,0.28395677014081744,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,5,3,32,80,80,19.687009528023477,0.0,nan,0.9837307318967421,0.2695823067637934,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
