cohort,n,instances,median_objective_lower,median_objective_upper,median_raw_cost,median_gauge_to_raw_ratio_upper,median_max_abs_flux_rad,max_mip_gap,all_success
development,3,4,4.209759846125641,4.209759846125641,17.623192959076913,0.23184062968704525,0.663480704896083,0.0,True
development,4,4,100.19518732190977,100.19518732190977,198.17480671732818,0.42669817615425293,0.7978503979844307,0.0,True
development,5,4,308.4402899438534,308.4402899438534,3031.6930983463208,0.11584085947591188,1.0738790541892715,0.0,True
development,6,4,1087.2759423884331,1087.2759423884331,5261.29011023181,0.19654695801553781,1.1499449669126172,0.0,True
development,7,4,6166.862457550849,6944.364374553323,85129.37852067308,0.08524659602528191,1.0896049575670097,0.2749849337071823,False
heldout,4,4,115.56104700153378,115.56104700153378,215.15112100584673,0.520156769704776,0.9373669575648347,0.0,True
heldout,5,4,nan,nan,nan,nan,0.9564951138188826,nan,False
heldout,6,4,nan,nan,nan,nan,1.0840793174862802,nan,False
heldout,7,4,nan,nan,nan,nan,1.094049781847659,nan,False
heldout,8,4,nan,nan,nan,nan,1.2174886798525866,nan,False
