n,vertices,edges,spectral_increments,log_union_bound,existence_certified,qtv_lower_coefficient_times_increments,time_lower_coefficient_rho_times_increments_over_width
2,4,4,3,9.23884127260408,False,0.14446591872386522,0.09196986029286058
3,8,12,11,16.012118858263293,False,0.14446591872386522,0.09196986029286058
4,16,32,31,24.013496585102146,False,0.14446591872386522,0.09196986029286058
5,32,80,79,28.925897149820727,False,0.14446591872386522,0.09196986029286058
6,64,192,191,16.569988501339708,False,0.14446591872386522,0.09196986029286058
7,128,448,447,-52.50324835145898,True,0.14446591872386522,0.09196986029286058
8,256,1024,1023,-279.37256116872936,True,0.14446591872386522,0.09196986029286058
9,512,2304,2303,-910.5568650266159,True,0.14446591872386522,0.09196986029286058
10,1024,5120,5119,-2527.8168291890806,True,0.14446591872386522,0.09196986029286058
11,2048,11264,11263,-6472.119470407395,True,0.14446591872386522,0.09196986029286058
12,4096,24576,24575,-15780.290178630792,True,0.14446591872386522,0.09196986029286058
