model,hilbert_dimension,spatial_mode,tolerance,lie_rank,su_dimension,is_full_su
hard_blockade_ideal,8,global_only,1e-08,28,63,False
hard_blockade_ideal,8,global_only,1e-09,28,63,False
hard_blockade_ideal,8,global_only,1e-10,28,63,False
hard_blockade_ideal,8,gradient_mask,1e-08,63,63,True
hard_blockade_ideal,8,gradient_mask,1e-09,63,63,True
hard_blockade_ideal,8,gradient_mask,1e-10,63,63,True
hard_blockade_projected_c6,8,global_only,1e-08,29,63,False
hard_blockade_projected_c6,8,global_only,1e-09,29,63,False
hard_blockade_projected_c6,8,global_only,1e-10,29,63,False
hard_blockade_projected_c6,8,gradient_mask,1e-08,63,63,True
hard_blockade_projected_c6,8,gradient_mask,1e-09,63,63,True
hard_blockade_projected_c6,8,gradient_mask,1e-10,63,63,True
full_c6,16,global_only,1e-08,135,255,False
full_c6,16,global_only,1e-09,135,255,False
full_c6,16,global_only,1e-10,135,255,False
full_c6,16,gradient_mask,1e-08,255,255,True
full_c6,16,gradient_mask,1e-09,255,255,True
full_c6,16,gradient_mask,1e-10,255,255,True
