model,mode,target_mask,seed,optimization_grid_fidelity,independent_high_resolution_fidelity,full_c6_transfer_fidelity
full_c6,gradient_mask,5,4100,0.9995506405830383,0.807147799272194,
full_c6,gradient_mask,5,4101,0.9998370409011841,0.7339783994271316,
full_c6,gradient_mask,5,4102,0.9999350309371948,0.4209240274850356,
full_c6,gradient_mask,5,4103,0.9999750852584839,0.5690666747919781,
full_c6,gradient_mask,5,4104,0.9995858073234558,0.5969142035660118,
full_c6,gradient_mask,5,4105,1.0000629425048828,0.24153316388979526,
full_c6,gradient_mask,10,4100,0.9997502565383911,0.703114474109608,
full_c6,gradient_mask,10,4101,0.9999390840530396,0.058132855005680675,
full_c6,gradient_mask,10,4102,0.9447761178016663,0.03317231256808629,
full_c6,gradient_mask,10,4103,0.9999697208404541,0.4900059633752589,
full_c6,gradient_mask,10,4104,0.9998434782028198,0.24720083027476358,
full_c6,gradient_mask,10,4105,0.99385005235672,0.5673028552157211,
hard_blockade_projected_c6,gradient_mask,5,4100,1.0000429153442383,0.4810233381400808,0.4974912745575687
hard_blockade_projected_c6,gradient_mask,5,4101,0.9999669790267944,0.38639580936665097,0.3893605558027463
hard_blockade_projected_c6,gradient_mask,5,4102,1.000040054321289,0.5131935638153393,0.49321308451321705
hard_blockade_projected_c6,gradient_mask,5,4103,0.9996562004089355,0.04431094477373951,0.04714969634596614
hard_blockade_projected_c6,gradient_mask,5,4104,1.0000147819519043,0.42844958482789275,0.44352900693835384
hard_blockade_projected_c6,gradient_mask,5,4105,1.000030517578125,0.07512596574731624,0.06767785670936728
hard_blockade_projected_c6,gradient_mask,10,4100,1.0000286102294922,0.4592477168644275,0.46104782622922025
hard_blockade_projected_c6,gradient_mask,10,4101,0.9999833106994629,0.47824182969464546,0.4830959728955726
hard_blockade_projected_c6,gradient_mask,10,4102,0.9999771118164062,0.03889203277063978,0.03565066223948628
hard_blockade_projected_c6,gradient_mask,10,4103,0.9887182116508484,0.6716922682615352,0.6501262672996346
hard_blockade_projected_c6,gradient_mask,10,4104,1.0000882148742676,0.42082773219450204,0.44413678810384
hard_blockade_projected_c6,gradient_mask,10,4105,0.9999189376831055,0.1368984570202046,0.12404417375235852
full_c6,global_only,5,4100,0.49998968839645386,0.3074337739888477,
full_c6,global_only,5,4101,0.49931785464286804,0.18737113355232296,
full_c6,global_only,5,4102,0.49932047724723816,0.16768505760682073,
full_c6,global_only,5,4103,0.49996381998062134,0.42110742982394067,
full_c6,global_only,5,4104,0.49980369210243225,0.05974652481859892,
full_c6,global_only,5,4105,0.49995505809783936,0.4409213657050428,
full_c6,global_only,10,4100,0.5000255107879639,0.4408571481584095,
full_c6,global_only,10,4101,0.49986058473587036,0.18103546824376862,
full_c6,global_only,10,4102,0.4963730275630951,0.30239601289685025,
full_c6,global_only,10,4103,0.4996567964553833,0.17414919787970212,
full_c6,global_only,10,4104,0.4998742341995239,0.40951442106172975,
full_c6,global_only,10,4105,0.5000091791152954,0.3682579805630608,
full_c6_uniform,uniform_mask,5,4100,0.4999634027481079,0.33216138274512763,
full_c6_uniform,uniform_mask,5,4101,0.4997541308403015,0.15295402269662003,
full_c6_uniform,uniform_mask,5,4102,0.49954473972320557,0.3950321046709399,
full_c6_uniform,uniform_mask,5,4103,0.499898761510849,0.01695914218107523,
full_c6_uniform,uniform_mask,5,4104,0.4999472200870514,0.4373868060910895,
full_c6_uniform,uniform_mask,5,4105,0.4999384582042694,0.34108161682089266,
full_c6_uniform,uniform_mask,10,4100,0.4998898208141327,0.3224867907448149,
full_c6_uniform,uniform_mask,10,4101,0.49091672897338867,0.41098113341544484,
full_c6_uniform,uniform_mask,10,4102,0.499097615480423,0.09139055736514162,
full_c6_uniform,uniform_mask,10,4103,0.5000318288803101,0.3456390931177438,
full_c6_uniform,uniform_mask,10,4104,0.48534882068634033,0.3251518433280702,
full_c6_uniform,uniform_mask,10,4105,0.4995577931404114,0.3377437376513923,
