regime,atoms,candidate_index,restart,topology_code,internal_edges,port_blocked,parameters,screen_relative_mse,train_relative_mse,validation_relative_l2_error,validation_max_error,optimizer_evaluations
uniform,3,0,2,001110,"[[0, 1], [0, 2]]",[1],"[-0.6550166556306831, 0.5786214613149321, 0.7521758603300355, 0.007142126962455642]",0.00024411678446146321,0.00023382133894582816,0.01500191760957441,0.038797962351995896,10996
uniform,3,0,3,001110,"[[0, 1], [0, 2]]",[1],"[-0.655016754162252, 0.5786214093808151, 0.7521747727303212, 0.007142169339056537]",0.00024411678446146321,0.0002338213389560385,0.015001914110392344,0.03879815327079671,11572
uniform,3,0,1,001110,"[[0, 1], [0, 2]]",[1],"[-0.6550166824323287, 0.5786213119579227, 0.7521753857007649, 0.007142201277736238]",0.00024411678446146321,0.0002338213389725373,0.01500191802137538,0.03879793986089363,11572
uniform,3,0,0,001110,"[[0, 1], [0, 2]]",[1],"[-0.6550159671874394, 0.5786211501758856, 0.7521737738688636, 0.007142096043756041]",0.00024411678446146321,0.00023382133897368394,0.015001917048793875,0.03879799489886615,11140
uniform,3,1,2,011101,"[[0, 1], [0, 2]]","[1, 2]","[0.6300977203699039, -4.874072066335217, 0.08715776353866866, -0.07044689175076657]",0.0003830247840443632,0.00037745573741249685,0.019310709765011213,0.033031702998972845,11140
uniform,3,1,3,011101,"[[0, 1], [0, 2]]","[1, 2]","[0.6300973628093653, -4.8740697777007025, 0.08715749725411959, -0.07044699099265861]",0.0003830247840443632,0.0003774557374219439,0.019310709944930168,0.03303168790420712,10996
uniform,3,1,1,011101,"[[0, 1], [0, 2]]","[1, 2]","[0.6300978596722935, -4.874072357656983, 0.08715795108015234, -0.07044685232453562]",0.0003830247840443632,0.0003774557374279394,0.019310711386177994,0.03303157056009283,10924
uniform,3,1,0,011101,"[[0, 1], [0, 2]]","[1, 2]","[0.6300977071279457, -4.874071045959468, 0.08715794084334227, -0.07044683615568736]",0.0003830247840443632,0.00037745573746037853,0.019310714928620357,0.03303127960570268,11356
uniform,3,2,0,000011,"[[0, 1]]",[0],"[0.14899201578925902, 0.6524209046150338, -1.7814246667785847, -0.027133318339165324]",0.0004695096195530875,0.0004620573575247946,0.021346937376633304,0.038437731367701004,9114
uniform,3,2,3,000011,"[[0, 1]]",[0],"[0.14899219228973593, 0.652421302972618, -2.1538193536696406, -0.027133243798187934]",0.0004695096195530875,0.00046205735752870286,0.02134693669388494,0.038437786673509916,8826
uniform,3,2,2,000011,"[[0, 1]]",[0],"[0.14899207534343528, 0.6524211317586937, 5.759480299169132, -0.02713321959534687]",0.0004695096195530875,0.0004620573575366715,0.02134693828902254,0.03843765960135939,9690
uniform,3,2,1,000011,"[[0, 1]]",[0],"[0.14899183728804788, 0.6524205840438988, 3.376709817759607, -0.027133375848857]",0.0004695096195530875,0.0004620573575419574,0.02134693750442157,0.038437719990049635,9114
uniform,3,3,0,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.19025285578317996, 0.7001325519147326, -5.9999999994634745, -0.028210480295003393]",0.0005059161131068511,0.000497575559241824,0.02215819264932762,0.039448377332846014,13983
uniform,3,3,3,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.19025312103059067, 0.7001331529965262, -5.999999999790305, -0.028210381089467607]",0.0005059161131068511,0.0004975755592419082,0.02215819118046851,0.039448496816115834,14559
uniform,3,3,2,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.190252830156318, 0.7001323472776453, -5.9999999985592, -0.028210610256995228]",0.0005059161131068511,0.000497575559271795,0.02215819085408545,0.03944852104306806,13407
uniform,3,3,1,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.19025264117793306, 0.700132117056719, -5.999999997985373, -0.028210670856763764]",0.0005059161131068511,0.000497575559300817,0.022158189494424906,0.03944862862482902,13335
