k,horizon,regime,dimension_h0,dimension_h1,response_zero_error,response_min_abs,response_final_abs,rank64_relative_residual,effective_rank_1pct,atom_lower_bound_1pct,effective_rank_5pct,atom_lower_bound_5pct
3,2.0,uniform,5,3,0.0,0.6715288149481575,0.6715288149481575,2.1268837319625912e-16,2,1,1,0
4,2.0,uniform,8,5,0.0,0.6742356000252745,0.6742356000252746,2.1442384745247953e-16,2,1,1,0
5,2.0,uniform,13,8,0.0,0.6739745981271876,0.6739745981271876,2.212497568084286e-16,2,1,1,0
6,2.0,uniform,21,13,0.0,0.6739953748937961,0.6739953748937962,2.2920153652568113e-16,2,1,1,0
7,2.0,uniform,34,21,0.0,0.6739939882312518,0.6739939882312518,2.3416388916459643e-16,2,1,1,0
8,2.0,uniform,55,34,0.0,0.6739940689608275,0.6739940689608275,2.4789794860563966e-16,2,1,1,0
9,2.0,uniform,89,55,0.0,0.6739940648383596,0.6739940648383597,2.3441819452924514e-16,2,1,1,0
10,2.0,uniform,144,89,0.0,0.6739940650276142,0.6739940650276143,2.088466638521556e-16,2,1,1,0
11,2.0,uniform,233,144,0.0,0.6739940650197869,0.6739940650197869,2.043847070130413e-16,2,1,1,0
12,2.0,uniform,377,233,0.0,0.673994065020083,0.6739940650200831,2.0520850766189936e-16,2,1,1,0
13,2.0,uniform,610,377,0.0,0.6739940650200736,0.6739940650200735,2.061095190598297e-16,2,1,1,0
3,5.0,uniform,5,3,0.0,0.48758937444237865,0.5986898714361718,5.670234093299757e-16,2,1,2,1
4,5.0,uniform,8,5,0.0,0.5348866804041047,0.5450968422300662,5.009714046493314e-16,2,1,2,1
5,5.0,uniform,13,8,0.0,0.5240412029350332,0.5527771832802879,3.1770807271546256e-16,2,1,2,1
6,5.0,uniform,21,13,0.0,0.5261407821175056,0.5500027521041193,3.781006891352541e-16,2,1,2,1
7,5.0,uniform,34,21,0.0,0.5258314394640698,0.5507098830706388,3.1643367584432673e-16,2,1,2,1
8,5.0,uniform,55,34,0.0,0.5258736550480303,0.5505784480894905,2.714842273175014e-16,2,1,2,1
9,5.0,uniform,89,55,0.0,0.5258688209168345,0.550602786698632,2.846590450147372e-16,2,1,2,1
10,5.0,uniform,144,89,0.0,0.5258693378991961,0.5505992562777404,2.7181737004227025e-16,2,1,2,1
11,5.0,uniform,233,144,0.0,0.5258692896626029,0.5505997525277018,2.465896732837823e-16,2,1,2,1
12,5.0,uniform,377,233,0.0,0.52586929390913,0.5505996935667798,2.509892990665694e-16,2,1,2,1
13,5.0,uniform,610,377,0.0,0.5258692935749915,0.5505997002769017,2.631686329021943e-16,2,1,2,1
3,10.0,uniform,5,3,0.0,0.48759039952476385,0.5910664202834038,1.025629309879288e-15,4,1,2,1
4,10.0,uniform,8,5,0.0,0.5089908392728484,0.7202059090300236,1.0688648031880178e-15,3,1,3,1
5,10.0,uniform,13,8,0.0,0.5240446848392034,0.6205846717495916,4.3606249621112476e-16,3,1,2,1
6,10.0,uniform,21,13,0.0,0.5261407821175041,0.608206192789869,4.622746116988267e-16,3,1,2,1
7,10.0,uniform,34,21,0.0,0.5258315022828729,0.5840846821122893,3.765179621735474e-16,3,1,2,1
8,10.0,uniform,55,34,0.0,0.5258736550480304,0.5856369910798038,3.8706741499140794e-16,3,1,2,1
9,10.0,uniform,89,55,0.0,0.5258688209168348,0.5845995220307044,3.751189789860241e-16,3,1,2,1
10,10.0,uniform,144,89,0.0,0.5258693378991959,0.5849843319788943,3.052096882176662e-16,3,1,2,1
11,10.0,uniform,233,144,0.0,0.5258692896626025,0.5848267888404911,7.826910491450345e-16,3,1,2,1
12,10.0,uniform,377,233,0.0,0.5258692939091321,0.5848727952534147,7.228211355512135e-16,3,1,2,1
