host_code,host_n,host_edges,host_port_degree,regime,target_hilbert_dimension,surrogate_hilbert_dimension,prefix_hilbert_dimension,surrogate_max_trace_distance,prefix_max_trace_distance,trace_improvement_factor,surrogate_final_trace_distance,prefix_final_trace_distance,surrogate_max_tv_distance,prefix_max_tv_distance,surrogate_max_port_population_error,prefix_max_port_population_error
n2_1,2,1,1,uniform,1597,21,21,0.005271737137500265,0.007113590679961828,1.3493826597232288,0.005271737137500265,0.007113590679961828,0.0008914353529001183,0.002721230701465689,0.0008914353528998095,0.001562831885283264
n3_110,3,2,2,uniform,2817,37,37,0.004951165545375785,0.017961198787502616,3.6276708227374352,0.004951165545375785,0.017961198787502616,0.0020188408383093187,0.007670857512483739,0.0012703700478140512,0.006092429254793114
n3_011,3,2,1,uniform,2584,34,34,0.012017904384796413,0.01502631186906529,1.2503271275876306,0.012017904384796413,0.01502631186906529,0.0023577531231996803,0.008132169807000038,0.0016266458563561625,0.00813216980699949
n3_111,3,3,2,uniform,2207,29,29,0.011517158453264599,0.009934101529239708,0.8625479600329572,0.011517158453264599,0.009934101529239708,0.0018697967488025963,0.0038378261057131907,0.001869796748802055,0.0038378261057129825
n4_011011,4,4,2,uniform,3804,50,50,0.009240363538460312,0.012923297434081108,1.3985702380963325,0.009240363538460312,0.012923297434081108,0.001615862237126578,0.004321129708724933,0.0004848287111553079,0.0037472938372759557
n4_111011,4,5,3,uniform,3427,45,45,0.005113881425999542,0.01499380057894319,2.9319804919044543,0.005113881425999542,0.01499380057894319,0.0014195377473672638,0.0052474345379805165,0.000792577696764718,0.003941811989920108
n4_011010,4,3,2,uniform,4414,58,58,0.006058857847903832,0.012857964481802257,2.1221762920631475,0.006058857847903832,0.012857964481802257,0.0012419566417777791,0.003393330018809747,0.0008891674587102327,0.002577344960750516
n4_001111,4,4,1,uniform,3571,47,47,0.01298220657215162,0.014156982072372804,1.0904912037635588,0.01298220657215162,0.014156982072372804,0.0022469528330169054,0.00953012331572772,0.001989187768712153,0.00953012331572678
n4_001101,4,3,1,uniform,4181,55,55,0.009718381310338208,0.013852306363984402,1.4253717693962689,0.009718381310338208,0.013852306363984402,0.0017943558148514754,0.005872264742563527,0.0015191863208244283,0.0035914312746555543
n4_111111,4,6,3,uniform,2817,37,37,0.013146912850183053,0.009716652886391782,0.739082474883561,0.013146912850183053,0.009467467930737173,0.000913941301556434,0.0040614513602130475,0.0001696665273525355,0.003326519220418045
n4_011111,4,5,2,uniform,3194,42,42,0.013304551585790683,0.020120497557907548,1.512301818529256,0.013304551585790683,0.020120497557907548,0.002437998282875581,0.012353567897204931,0.0011117087679333726,0.011599014937395347
n4_001011,4,3,1,uniform,4558,60,60,0.012669905383937878,0.014644963155344585,1.1558857553830324,0.012669905383937878,0.014644963155344585,0.0020628336294582095,0.008328596283599617,0.001697008197552835,0.00832859628359861
n5_0011101010,5,5,2,uniform,6011,79,79,0.005514688650024302,0.009309732345956305,1.6881700739198175,0.005514688650024302,0.009309732345956305,0.0008066567698455985,0.0024028352387809398,0.0006381738521538116,0.0010308280131999456
n5_0011100111,5,6,2,uniform,5401,71,71,0.012739435010924813,0.016296551237953667,1.2792208778472842,0.012739435010924813,0.016296551237953667,0.0009004295576894028,0.0061449475822339394,0.000900429557690291,0.006144947582231719
n5_0001010111,5,5,1,uniform,6155,81,81,0.012613568784049498,0.01466403023303029,1.1625599768063821,0.012613568784049498,0.01466403023303029,0.0022012887410806517,0.008369447848527688,0.001957987797892219,0.008369447848527112
