horizon,regime,atoms,topology_code,internal_edges,port_blocked,detunings,port_phase_rate,coarse_relative_mse,train_relative_mse,validation_relative_l2_error,validation_max_error,prefix_validation_max_error,prefix_improvement_factor,optimizer_evaluations,topologies_screened
5.0,uniform,1,1,[],[0],[0.48817448594164614],0.15628382666596874,0.06948901740155404,0.06948901738131523,0.2625102013896613,0.4156091224703771,0.7062293701390622,1.699263399083352,1200,1
5.0,uniform,2,011,"[[0, 1]]",[0],"[0.14899208127552477, 0.6524210461125721]",-0.02713329946217402,0.00046205735753624636,0.00046205735752432155,0.021346936920030413,0.038437767971967,0.45697831217478324,11.888783774023027,2911,4
5.0,uniform,3,001110,"[[0, 1], [0, 2]]",[1],"[0.7415596733440497, 0.185111685947414, -2.536242934123924]",-0.02263458924307693,0.00030830176277420304,0.00027783778199136605,0.01662990876688676,0.02298864108843502,0.2042645211656906,8.885454358955158,5858,16
5.0,perturbed,1,1,[],[0],[0.48709744791656573],0.15642409977077976,0.06956867871695499,0.069568678166003,0.2626655788449516,0.41531513187646396,0.7071349191708183,1.7026466528581878,1401,1
5.0,perturbed,2,011,"[[0, 1]]",[0],"[0.14854702420507615, 0.6539773417928434]",-0.026824787246684245,0.0004609522499990247,0.00046095224934749365,0.02131710537980073,0.038713612725550385,0.4580499475704042,11.831754138205199,3076,4
5.0,perturbed,3,001110,"[[0, 1], [0, 2]]",[1],"[0.6284381710195566, 0.45524516214680943, -0.23771113414432898]",0.022302942377929513,0.00040626958938835047,0.0004062695713561603,0.020115541272538933,0.027354821229533918,0.20365389074162119,7.444899348190371,4783,16
10.0,uniform,1,1,[],[0],[0.6731536297505143],0.04168737405564138,0.17726299815480476,0.17726299815480476,0.4217628200017821,0.44811444095416625,0.9194273149514796,2.0517689922997144,1222,1
10.0,uniform,2,011,"[[0, 1]]",[0],"[0.6301022440223978, -0.2787991853108981]",-0.06130800974196626,0.03383211291088516,0.0338321129108852,0.1837622906905536,0.22799723462269197,0.46674557277114426,2.047154534762459,2581,4
10.0,uniform,3,001110,"[[0, 1], [0, 2]]",[1],"[0.1845788698127817, 0.32889702473818616, 0.8351333017316729]",0.006979165921017216,0.0075001529785480815,0.0024873946416715882,0.050007381804232996,0.048603433123182035,0.287571228884969,5.916685517999102,5296,16
10.0,perturbed,1,1,[],[0],[0.6721963679872226],0.04187506798840106,0.17788336776156322,0.1778833676770406,0.4224790069892921,0.4479280384004886,0.9195855681252955,2.0529761240422775,1413,1
10.0,perturbed,2,011,"[[0, 1]]",[0],"[-0.8275019012626944, 0.3441670921982257]",-0.3721905819576301,0.11231221593644841,0.10815158240357163,0.33020359051627307,0.3483102739772609,0.46812472953089973,1.3439877158531959,2758,4
10.0,perturbed,3,001110,"[[0, 1], [0, 2]]",[1],"[0.6763646226572921, 0.39014997531753526, 0.05960863793848792]",0.04821314833836543,0.0075921546897947095,0.0075921546152659305,0.0865298362339778,0.1523303772654348,0.2845273159584514,1.8678304423986567,5013,16
20.0,uniform,1,1,[],[0],[-0.6262243620948578],-0.5169820475965099,0.2908096482473842,0.29080964770966905,0.5409289355595395,0.5166831011003696,1.2924241727526948,2.501386575253274,1341,1
20.0,uniform,2,011,"[[0, 1]]",[0],"[-1.0058710372593775, 0.2991597066509238]",-0.364712526513992,0.10881734312668455,0.10881732464524757,0.3316567042974192,0.3737492721519849,0.8167339730853258,2.1852456551492665,2523,4
20.0,uniform,3,001110,"[[0, 1], [0, 2]]",[1],"[-0.17955035333261704, 0.45485030234093915, 0.496038827678533]",-0.042751162465128445,0.024003502522228434,0.024003502522228454,0.1556816400756523,0.18543373707460006,0.3152468844243587,1.7000514005578973,5311,16
20.0,perturbed,1,1,[],[0],[0.5769883842822234],0.046436234445669466,0.2771264691461953,0.2771264691033269,0.5287246654659548,0.4753616829168686,1.2854153776729835,2.7040786497252816,1420,1
20.0,perturbed,2,011,"[[0, 1]]",[0],"[0.5448272874495215, 1.1195945280909618]",-0.00655063647523048,0.12782775896284962,0.12782775896157986,0.35837792869749213,0.34828939636584316,0.8264433979825448,2.372864079716193,2844,4
20.0,perturbed,3,001110,"[[0, 1], [0, 2]]",[1],"[-0.17598338682603742, 0.451638311112049, 0.4977501712255392]",-0.042308442283482295,0.023068926157599725,0.023068926157599763,0.15263885482410525,0.1822154778123759,0.3229888349326019,1.7725653100949956,5229,16
