target_k,horizon,regime,prefix_atoms,max_time_error,relative_l2_time_error,relative_hankel_error
3,2.0,uniform,1,0.10565797215670453,0.04395772669413711,0.029431315894657854
3,2.0,uniform,2,0.02267131283341246,0.007605164347061831,0.004230915565964943
3,2.0,uniform,3,0.0,0.0,0.0
4,2.0,uniform,1,0.10849731451560009,0.04473450810474927,0.029801030762886208
4,2.0,uniform,2,0.019832255762555196,0.00677394585232292,0.003824109601055272
4,2.0,uniform,3,0.0028400487667659875,0.0008371012638366099,0.0004135493735377499
5,2.0,uniform,1,0.10822195707634398,0.0446688635904807,0.029773510532493677
5,2.0,uniform,2,0.020107847176046686,0.006845299437728328,0.0038553105482617366
5,2.0,uniform,3,0.0025645088011035434,0.0007641481641712112,0.0003809278983998244
6,2.0,uniform,1,0.10824379272454107,0.04467347473916881,0.029775238069308395
6,2.0,uniform,2,0.020086007199392467,0.006840220209327129,0.003853300923972602
6,2.0,uniform,3,0.0025863527846487155,0.0007693972834544659,0.0003830712098026408
7,2.0,uniform,1,0.10824233005103581,0.04467319730659302,0.029775144068484787
7,2.0,uniform,2,0.0200874710712074,0.006840529247074601,0.003853412607217026
7,2.0,uniform,3,0.0025848891901430948,0.0007690750091404148,0.0003829500324575813
8,2.0,uniform,1,0.10824241499239295,0.04467321193225084,0.029775148593314562
8,2.0,uniform,2,0.020087386096444927,0.006840512815958085,0.0038534071401899244
8,2.0,uniform,3,0.0025849741705530733,0.000769092279531759,0.00038295605156146175
9,2.0,uniform,1,0.10824241064383723,0.04467321124640171,0.029775148398022505
9,2.0,uniform,2,0.02008739044858217,0.006840513592480393,0.0038534073796465743
9,2.0,uniform,3,0.002584969819252149,0.0007690914582182822,0.00038295578472712273
10,2.0,uniform,1,0.10824241084310952,0.04467321127540032,0.02977514840567311
10,2.0,uniform,2,0.020087390249207037,0.006840513559448908,0.0038534073701524904
10,2.0,uniform,3,0.0025849700186258233,0.0007690914933560423,0.0003829557954206501
11,2.0,uniform,1,0.10824241083485239,0.04467321127428459,0.029775148405398775
11,2.0,uniform,2,0.020087390257471038,0.006840513560727038,0.00385340737049658
11,2.0,uniform,3,0.002584970010363456,0.0007690914919900601,0.000382955795029574
12,2.0,uniform,1,0.10824241083516428,0.0446732112743238,0.029775148405407664
12,2.0,uniform,2,0.020087390257158975,0.006840513560681898,0.0038534073704852767
12,2.0,uniform,3,0.0025849700106755093,0.0007690914920385565,0.00038295579504258627
13,2.0,uniform,1,0.10824241083515418,0.04467321127432289,0.029775148405407778
13,2.0,uniform,2,0.020087390257169126,0.006840513560683049,0.003853407370485312
