regime,word_length,history_count,surrogate_max_gram_error,prefix_max_gram_error,max_error_improvement,surrogate_relative_frobenius_error,prefix_relative_frobenius_error,frobenius_improvement,case_passes
uniform,1,2,0.005996097075730603,0.061895719086766186,10.322667946336479,0.0052525449767509705,0.054220277668197925,10.322667946336479,True
uniform,2,4,0.01911676905870067,0.06189571908676655,3.2377709275404865,0.012434456259381324,0.05075120374792888,4.081497629591888,False
uniform,3,8,0.020691495025740025,0.0735217089447257,3.55323328997085,0.009969621576932793,0.04738807281069027,4.753246895582717,False
uniform,4,16,0.01917958372976975,0.07775460521684133,4.054029863857465,0.009258156733349074,0.04500580706427844,4.861206000343645,False
uniform,5,32,0.020825051448594627,0.07755535367039922,3.724137434274287,0.008374647151015789,0.0423527715724509,5.0572604204959,False
uniform,6,64,0.02069149502573813,0.07827293386744354,3.7828554084699975,0.00763484672786786,0.03951637640290849,5.175791710221274,False
perturbed,1,2,0.00022149288719830606,0.06191337717496463,279.52760902670707,0.00019402446236401488,0.054235194057305404,279.5276090267071,True
perturbed,2,4,0.007159990655182458,0.06191337717496506,8.647131002908734,0.0044959099272078576,0.050679678939764695,11.272396413697468,True
perturbed,3,8,0.0076132575565362485,0.0733308835825019,9.631998265912436,0.004682585145933837,0.0473211488030323,10.105774337947498,True
perturbed,4,16,0.007524626068405903,0.07761234753263677,10.314445771400171,0.004673509204033377,0.044935797961222,9.615001490195219,True
perturbed,5,32,0.008189151410976219,0.07741738977575506,9.453652263895098,0.004598363869156202,0.04227446447323771,9.193370876279753,True
perturbed,6,64,0.008422667029319965,0.07810812772757934,9.27356233550238,0.004484648133984765,0.03943052719094099,8.792334652106943,True
