case_passes,effective_rank_1e-6,effective_rank_1pct,hankel_size,horizon,k,leading_singular_values_normalized,rank64_relative_residual,regime,registered_rank_256,response_zero_error,sample_count,size512_rank_delta
,6,2,128,5.0,13,"[1.0, 0.08910057200004576, 0.0075830041162154105, 0.00032259089505895354, 4.100812288869097e-05, 1.2832848502260904e-06, 5.330653521525708e-08, 4.895392576626713e-09, 6.137106106773207e-11, 3.873870310600021e-12, 1.6548070933149638e-13, 5.966035065071881e-15]",6.189640687394381e-17,uniform,,0.0,255,
,6,2,256,5.0,13,"[1.0, 0.08864999477514539, 0.007495626942408894, 0.00031423782173960966, 4.01421697786851e-05, 1.2495653248231007e-06, 5.12124589008528e-08, 4.669537970948555e-09, 5.860693807558824e-11, 3.677493193009247e-12, 1.5577895735893605e-13, 5.637319502496465e-15]",2.631686329021943e-16,uniform,,0.0,511,
True,6,2,512,5.0,13,"[1.0, 0.08842528767615351, 0.007452085340245867, 0.00031009386182713337, 3.970809444158165e-05, 1.2325279923214778e-06, 5.016039389630547e-08, 4.554367305800343e-09, 5.7168052440906946e-11, 3.5744020063201213e-12, 1.5052228777395956e-13, 5.467123591560757e-15]",3.3375184921863955e-16,uniform,2,0.0,1023,0
,8,3,128,10.0,13,"[1.0, 0.13374493900695414, 0.0289687723213548, 0.008917273818238895, 0.0016406017244585647, 0.0003807568251502362, 1.6450435959818705e-05, 9.073725166656398e-06, 3.737103457476626e-07, 1.72474828694344e-07, 4.358637998468102e-09, 3.0562824510528686e-09]",2.475346238651471e-16,uniform,,0.0,255,
,8,3,256,10.0,13,"[1.0, 0.1328113630983587, 0.028799226761717422, 0.008793783584817864, 0.0016060434915614946, 0.00037249840817629455, 1.6007715082581308e-05, 8.76632687217057e-06, 3.5827987739850124e-07, 1.6536730584417423e-07, 4.1703514387255306e-09, 2.8897017225596338e-09]",5.51034593093087e-16,uniform,,0.0,511,
True,8,3,512,10.0,13,"[1.0, 0.13234350551827778, 0.028714381457186484, 0.008732246172109446, 0.0015886684220083982, 0.00036834406152287116, 1.578525436682828e-05, 8.609174628115708e-06, 3.5041713855144124e-07, 1.6162873333358427e-07, 4.069671944408978e-09, 2.800817258824571e-09]",7.447542087016897e-16,uniform,3,0.0,1023,0
,14,5,128,20.0,13,"[1.0, 0.11503700051281378, 0.04146752695297086, 0.020473507098004794, 0.01232079070708542, 0.005565300111739748, 0.0010936433439143192, 0.0006860213575392488, 0.0003001487978181981, 7.193566138387225e-05, 3.447107025631854e-05, 9.947922450144125e-06]",3.1182781917909446e-16,uniform,,0.0,255,
,14,5,256,20.0,13,"[1.0, 0.11467843165057445, 0.041493706380884864, 0.02014991677811263, 0.012250872217542586, 0.005562709221554445, 0.001060720599861923, 0.000682448138164975, 0.0002908796185311114, 6.850956076019226e-05, 3.422947104079429e-05, 9.515465127495457e-06]",6.120737481824545e-16,uniform,,0.0,511,
True,13,5,512,20.0,13,"[1.0, 0.1145009978306793, 0.04150675384899098, 0.019986061478231964, 0.012215878190207342, 0.005561528977621314, 0.0010440907351852075, 0.0006807114689110625, 0.00028622577237111203, 6.676756827416913e-05, 3.409772814084611e-05, 9.299577164220727e-06]",8.704143216222361e-16,uniform,5,0.0,1023,0
,6,2,128,5.0,13,"[1.0, 0.08940401115161033, 0.007606769936075673, 0.0003218529577531671, 4.117687762804708e-05, 1.288179658540769e-06, 5.3179716752782214e-08, 5.197694233881751e-09, 5.652139702825387e-11, 3.4411785462039814e-12, 2.189897196461555e-13, 6.160085980508845e-15]",5.639655334274258e-17,perturbed,,0.0,255,
,6,2,256,5.0,13,"[1.0, 0.08895118503654693, 0.007519076977360238, 0.0003135282977487785, 4.030254551789951e-05, 1.25471045138289e-06, 5.108153672587952e-08, 4.957206026286632e-09, 5.400256093979055e-11, 3.26078123413098e-12, 2.0643578157765815e-13, 5.823331387217942e-15]",2.5370544745387985e-16,perturbed,,0.0,511,
True,6,2,512,5.0,13,"[1.0, 0.08872535880600557, 0.0074753780177439656, 0.00030939837642933986, 3.9864312204110515e-05, 1.2377935696494497e-06, 5.002765291185052e-08, 4.834584353068261e-09, 5.26904344377067e-11, 3.166446177081033e-12, 1.9972523401820796e-13, 5.648803717674548e-15]",3.3761317104205902e-16,perturbed,2,0.0,1023,0
