k,regime,coefficient_threshold,dimension_h0,dimension_h1,candidate_frequency_pairs,active_frequency_pairs,resolved_frequency_rank,atom_lower_bound,active_coefficient_l1,response_at_zero_from_coefficients_real,response_at_zero_from_coefficients_imag
3,uniform,1e-08,5,3,15,8,8,2,1.0000000000000002,1.0,0.0
3,uniform,1e-10,5,3,15,8,8,2,1.0000000000000002,1.0,0.0
3,uniform,1e-12,5,3,15,8,8,2,1.0000000000000002,1.0,0.0
4,uniform,1e-08,8,5,40,20,20,3,1.0659108255428817,1.0000000000000004,0.0
4,uniform,1e-10,8,5,40,20,20,3,1.0659108255428817,1.0000000000000004,0.0
4,uniform,1e-12,8,5,40,20,20,3,1.0659108255428817,1.0000000000000004,0.0
5,uniform,1e-08,13,8,104,45,45,3,1.0720466580853147,1.0000000000000004,0.0
5,uniform,1e-10,13,8,104,45,45,3,1.0720466580853147,1.0000000000000004,0.0
5,uniform,1e-12,13,8,104,45,45,3,1.0720466580853147,1.0000000000000004,0.0
6,uniform,1e-08,21,13,273,99,99,4,1.1175509047086876,1.0000000000000004,0.0
6,uniform,1e-10,21,13,273,99,99,4,1.1175509047086876,1.0000000000000004,0.0
6,uniform,1e-12,21,13,273,99,99,4,1.1175509047086876,1.0000000000000004,0.0
7,uniform,1e-08,34,21,714,231,231,4,1.1705876123232306,1.0000000000000004,0.0
7,uniform,1e-10,34,21,714,231,231,4,1.1705876123232306,1.0000000000000004,0.0
7,uniform,1e-12,34,21,714,231,231,4,1.1705876123232306,1.0000000000000004,0.0
8,uniform,1e-08,55,34,1870,630,630,5,1.2256316893730603,0.9999999999999996,0.0
8,uniform,1e-10,55,34,1870,630,630,5,1.2256316893730603,0.9999999999999996,0.0
8,uniform,1e-12,55,34,1870,630,630,5,1.2256316893730603,0.9999999999999996,0.0
9,uniform,1e-08,89,55,4895,1517,1517,6,1.294127910124605,1.0000000000000004,0.0
9,uniform,1e-10,89,55,4895,1530,1530,6,1.294127919227486,1.0000000000000004,0.0
9,uniform,1e-12,89,55,4895,1530,1530,6,1.294127919227486,1.0000000000000004,0.0
10,uniform,1e-08,144,89,12816,3772,3772,6,1.3726903371552868,1.0000000000000013,0.0
10,uniform,1e-10,144,89,12816,3870,3870,6,1.3726903912849076,1.0000000000000013,0.0
10,uniform,1e-12,144,89,12816,3876,3876,6,1.372690391330308,1.0000000000000013,0.0
11,uniform,1e-08,233,144,33552,9203,9203,7,1.471692151699747,1.0000000000000053,0.0
11,uniform,1e-10,233,144,33552,9590,9590,7,1.4716923798674328,1.0000000000000053,0.0
11,uniform,1e-12,233,144,33552,9651,9651,7,1.4716923802783333,1.0000000000000053,0.0
12,uniform,1e-08,377,233,87841,23020,23020,8,1.657568250678454,1.0000000000000082,0.0
12,uniform,1e-10,377,233,87841,24415,24415,8,1.6575688585202415,1.0000000000000082,0.0
12,uniform,1e-12,377,233,87841,24724,24724,8,1.6575688599690137,1.0000000000000082,0.0
13,uniform,1e-08,610,377,229970,56248,56247,8,1.8433957406029415,1.0000000000000022,0.0
13,uniform,1e-10,610,377,229970,61156,61155,8,1.8433974499851646,1.0000000000000022,0.0
13,uniform,1e-12,610,377,229970,62473,62472,8,1.8433974551197134,1.0000000000000022,0.0
3,perturbed,1e-08,5,3,15,15,15,2,1.0028132099480678,0.9999999999999998,0.0
3,perturbed,1e-10,5,3,15,15,15,2,1.0028132099480678,0.9999999999999998,0.0
3,perturbed,1e-12,5,3,15,15,15,2,1.0028132099480678,0.9999999999999998,0.0
4,perturbed,1e-08,8,5,40,38,38,3,1.0791634112123223,1.0000000000000004,0.0
4,perturbed,1e-10,8,5,40,40,40,3,1.0791634145424516,1.0000000000000004,0.0
4,perturbed,1e-12,8,5,40,40,40,3,1.0791634145424516,1.0000000000000004,0.0
5,perturbed,1e-08,13,8,104,104,104,4,1.1061380115321415,1.0,0.0
5,perturbed,1e-10,13,8,104,104,104,4,1.1061380115321415,1.0,0.0
5,perturbed,1e-12,13,8,104,104,104,4,1.1061380115321415,1.0,0.0
6,perturbed,1e-08,21,13,273,269,269,5,1.1456210048431166,0.9999999999999997,0.0
6,perturbed,1e-10,21,13,273,273,273,5,1.1456210104647946,0.9999999999999997,0.0
6,perturbed,1e-12,21,13,273,273,273,5,1.1456210104647946,0.9999999999999997,0.0
7,perturbed,1e-08,34,21,714,709,709,5,1.279129998164073,0.9999999999999998,0.0
7,perturbed,1e-10,34,21,714,714,714,5,1.27913000384777,0.9999999999999998,0.0
7,perturbed,1e-12,34,21,714,714,714,5,1.27913000384777,0.9999999999999998,0.0
8,perturbed,1e-08,55,34,1870,1842,1842,6,1.3956358748266986,1.000000000000005,0.0
8,perturbed,1e-10,55,34,1870,1868,1868,6,1.3956358913159432,1.000000000000005,0.0
8,perturbed,1e-12,55,34,1870,1870,1870,6,1.3956358913371705,1.000000000000005,0.0
9,perturbed,1e-08,89,55,4895,4725,4725,7,1.4913377096498484,0.9999999999999767,0.0
9,perturbed,1e-10,89,55,4895,4887,4887,7,1.4913378049744135,0.9999999999999767,0.0
9,perturbed,1e-12,89,55,4895,4895,4895,7,1.4913378050396409,0.9999999999999767,0.0
10,perturbed,1e-08,144,89,12816,11896,11896,7,1.6284850452976283,0.9999999999999889,0.0
10,perturbed,1e-10,144,89,12816,12667,12667,7,1.628485357599265,0.9999999999999889,0.0
10,perturbed,1e-12,144,89,12816,12802,12802,7,1.6284853581261274,0.9999999999999889,0.0
11,perturbed,1e-08,233,144,33552,30511,30511,8,1.7991364659063749,1.0000000000000049,0.0
11,perturbed,1e-10,233,144,33552,33003,33003,8,1.7991374209531337,1.0000000000000049,0.0
11,perturbed,1e-12,233,144,33552,33504,33504,8,1.7991374230744754,1.0000000000000049,0.0
12,perturbed,1e-08,377,233,87841,77639,77638,9,2.112228901644859,1.0000000000000013,0.0
12,perturbed,1e-10,377,233,87841,85392,85391,9,2.1122310852030517,1.0000000000000013,0.0
12,perturbed,1e-12,377,233,87841,87465,87464,9,2.112231091282804,1.0000000000000013,0.0
13,perturbed,1e-08,610,377,229970,189771,189762,9,2.3264609503893916,1.0000000000000155,0.0
13,perturbed,1e-10,610,377,229970,218534,218525,9,2.3264698035304874,1.0000000000000155,0.0
13,perturbed,1e-12,610,377,229970,227466,227457,9,2.3264698327186237,1.0000000000000155,0.0
