case,qubits,setting,method,schedule,ordering,actual_bks_error,true_tvd,epsilon_rigorous,accumulated_angle,p_bks_mps,number_of_truncations,sum_w,sqrt_sum_w,product_trace,rss_angle,sum_w_raw
karate,3,bond128,published_lr,LR,sorted,1.9984014443252818e-15,1.5662215177136146e-15,0.0,0.0,0.9088221515603758,0,0.0,0.0,0.0,0.0,0.0
karate,3,bond128,published_lr,LR,spectral,1.5543122344752192e-15,2.4054820906439095e-15,0.0,0.0,0.9088221515603756,0,0.0,0.0,0.0,0.0,0.0
karate,3,bond128,prior_matched_random,MR,sorted,1.9984014443252818e-15,1.6096573672488151e-15,0.0,0.0,0.995234158667836,0,0.0,0.0,0.0,0.0,0.0
karate,3,bond128,prior_matched_random,MR,spectral,2.9976021664879227e-15,4.194293702500587e-15,0.0,0.0,0.9952341586678366,0,0.0,0.0,0.0,0.0,0.0
karate,3,confirm,published_lr,LR,sorted,1.9984014443252818e-15,1.5662215177136146e-15,0.0,0.0,0.9088221515603758,0,0.0,0.0,0.0,0.0,0.0
karate,3,confirm,published_lr,LR,spectral,1.5543122344752192e-15,2.4054820906439095e-15,0.0,0.0,0.9088221515603756,0,0.0,0.0,0.0,0.0,0.0
karate,3,confirm,prior_matched_random,MR,sorted,1.9984014443252818e-15,1.6096573672488151e-15,0.0,0.0,0.995234158667836,0,0.0,0.0,0.0,0.0,0.0
karate,3,confirm,prior_matched_random,MR,spectral,2.9976021664879227e-15,4.194293702500587e-15,0.0,0.0,0.9952341586678366,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-4,published_lr,LR,sorted,1.9984014443252818e-15,1.5662215177136146e-15,0.0,0.0,0.9088221515603758,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-4,published_lr,LR,spectral,1.5543122344752192e-15,2.4054820906439095e-15,0.0,0.0,0.9088221515603756,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-4,prior_matched_random,MR,sorted,1.9984014443252818e-15,1.6096573672488151e-15,0.0,0.0,0.995234158667836,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-4,prior_matched_random,MR,spectral,2.9976021664879227e-15,4.194293702500587e-15,0.0,0.0,0.9952341586678366,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-5,published_lr,LR,sorted,1.9984014443252818e-15,1.5662215177136146e-15,0.0,0.0,0.9088221515603758,0,0.0,0.0,0.0,0.0,0.0
karate,3,cutoff1e-5,published_lr,LR,spectral,1.5543122344752192e-15,2.4054820906439095e-15,0.0,0.0,0.9088221515603756,0,0.0,0.0,0.0,0.0,0.0
