model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,anchored,0.173,0,3,7,2816,512,0.0019026388798608074,0.007010435197984138,0.011794555562092756,0.01671005200298849,0.1796875,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,4,15,6656,512,0.0005734408261549029,0.003401022190606229,0.006756715896116131,0.007889166539885473,0.17578125,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,5,31,14592,512,0.00021646265142749588,0.002017725635371642,0.005035506845075007,0.005324220484026226,0.185546875,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,6,63,30720,512,0.0009793143623195444,0.0015329251994329607,0.006731089751219389,0.008716741554705898,0.16796875,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,7,127,63232,512,0.0015485295937073262,0.002650819045248165,0.007000952765324064,0.012209824816270393,0.18359375,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,8,255,128512,512,0.003392375467818981,0.004559429706932419,0.009930774900956108,0.011799567858223114,0.224609375,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,0,9,511,259328,512,0.0034975555209941778,0.00431162733173486,0.007989160373688676,0.01143792486828532,0.208984375,0.12189219653785222,0.4068255540931569
gate,anchored,0.173,1,3,7,2816,512,0.0014334336240565126,0.006184411882418833,0.009907353234747215,0.014868315056192405,0.17578125,0.17737809708951188,0.7378346942036682
gate,anchored,0.173,1,4,15,6656,512,0.0007453485536999815,0.0033498870157213645,0.0075506320703532075,0.0076982105428137155,0.203125,0.17737809708951188,0.7378346942036682
gate,anchored,0.173,1,5,31,14592,512,-0.00010811448054523498,0.002017725635371642,0.0040447622151992884,0.0048560264019446575,0.216796875,0.17737809708951188,0.7378346942036682
gate,anchored,0.173,1,6,63,30720,512,0.0008541447385326251,0.0015329251994329607,0.006377229253686817,0.008380583811909209,0.18359375,0.17737809708951188,0.7378346942036682
