levels,maximum_depth,separation_scale,theta_separation,variation_budget,witness_found,theta_first,theta_second,visibility_first,visibility_second,total_variation_first,total_variation_second,maximum_probability_gap
3,7,0.002,0.00028571428571428574,0.18,True,0.4197142857142857,0.42,"[0.5509444330210121, 0.5509444330210121, 0.5509444330210121]","[0.5512955724413532, 0.5502670802947547, 0.55]",0.0,0.0012955724413531433,0.0
3,7,0.005,0.0007142857142857143,0.18,True,0.41928571428571426,0.42,"[0.5523837892517713, 0.5523837892517713, 0.5523837892517713]","[0.5532635927585094, 0.5506829440538366, 0.55]",0.0,0.0032635927585094038,0.0
3,7,0.01,0.0014285714285714286,0.18,True,0.41857142857142854,0.42,"[0.5548440573776604, 0.5548440573776604, 0.5548440573776604]","[0.5566103673856888, 0.5514170565375967, 0.55]",0.0,0.006610367385688765,0.0
3,7,0.02,0.002857142857142857,0.18,True,0.41714285714285715,0.42,"[0.5600001827418266, 0.5600001827418266, 0.5600001827418266]","[0.5635610451582885, 0.5530415988230954, 0.55]",0.0,0.013561045158288487,1.1102230246251565e-16
3,7,0.05,0.0071428571428571435,0.18,True,0.41285714285714287,0.42,"[0.577476370139552, 0.577476370139552, 0.577476370139552]","[0.5866207222096297, 0.5592234437691422, 0.55]",0.0,0.03662072220962964,1.1102230246251565e-16
4,15,0.002,0.00013333333333333334,0.18,True,0.4095573777777778,0.4096907111111111,"[0.5506276234752432, 0.5506276234752432, 0.5506276234752432, 0.5506276234752432]","[0.550784772921887, 0.5502687108837958, 0.55, 0.5500002406606751]",0.0,0.0007850135825619997,1.1102230246251565e-16
4,15,0.005,0.0003333333333333333,0.18,True,0.40944836111111105,0.4097816944444444,"[0.5515714236883813, 0.5515714236883813, 0.5515714236883813, 0.5515714236883813]","[0.5519650407426577, 0.5506729439996401, 0.5500005706929749, 0.55]",0.0,0.0019650407426576866,5.551115123125783e-17
4,15,0.01,0.0006666666666666666,0.18,True,0.40929472222222224,0.4099613888888889,"[0.5531449196363803, 0.5531449196363803, 0.5531449196363803, 0.5531449196363803]","[0.5539347226942198, 0.5513445856504843, 0.55, 0.5500021601814349]",0.0,0.003936882875654635,1.1102230246251565e-16
4,15,0.02,0.0013333333333333333,0.18,True,0.40895822222222217,0.4102915555555555,"[0.5563086440016686, 0.5563086440016686, 0.5563086440016686, 0.5563086440016686]","[0.5578984001777764, 0.5526931112304271, 0.55, 0.5500021951958951]",0.0,0.007900595373671382,5.551115123125783e-17
4,15,0.05,0.0033333333333333335,0.18,True,0.4079694444444444,0.41130277777777774,"[0.5659052269443755, 0.5659052269443755, 0.5659052269443755, 0.5659052269443755]","[0.569957056795685, 0.5567560658595136, 0.55, 0.550011393828973]",0.0,0.019968450624657907,1.1102230246251565e-16
5,31,0.002,6.451612903225807e-05,0.18,True,0.4007574569892473,0.40082197311827955,"[0.5506423606296189, 0.5506423606296189, 0.5506423606296189, 0.5506423606296189, 0.5506423606296189]","[0.5507157535521665, 0.5504489938304075, 0.5502467450405101, 0.55, 0.5500003545285479]",0.0,0.0007161080807143172,0.0
5,31,0.005,0.00016129032258064516,0.18,True,0.4007227822580645,0.4008840725806452,"[0.551605815182569, 0.551605815182569, 0.551605815182569, 0.551605815182569, 0.551605815182569]","[0.5517896469932262, 0.5511217598303274, 0.5506159686848577, 0.55, 0.5500044576017525]",0.0,0.0017941045949786405,0.0
5,31,0.01,0.0003225806451612903,0.18,True,0.40062717741935483,0.4009497580645161,"[0.553219620422117, 0.553219620422117, 0.553219620422117, 0.553219620422117, 0.553219620422117]","[0.5535883990755436, 0.5522489280598328, 0.5512350614839944, 0.55, 0.5500010425736023]",0.0,0.0035894416491457637,1.1102230246251565e-16
5,31,0.02,0.0006451612903225806,0.18,True,0.40046408602150535,0.40110924731182795,"[0.5564593807756252, 0.5564593807756252, 0.5564593807756252, 0.5564593807756252, 0.5564593807756252]","[0.5572014994357267, 0.5545082944845124, 0.5524739412837545, 0.550000288227536, 0.55]",0.0,0.007201499435726677,1.1102230246251565e-16
5,31,0.05,0.0016129032258064516,0.18,True,0.40000139784946237,0.4016143010752688,"[0.5662701746619733, 0.5662701746619733, 0.5662701746619733, 0.5662701746619733, 0.5662701746619733]","[0.5681602337837917, 0.5613207063604392, 0.5561908091259747, 0.55, 0.5500460335877597]",0.0,0.018206267371551288,1.1102230246251565e-16
6,63,0.002,3.1746031746031745e-05,0.18,True,0.39665209788359784,0.3966838439153439,"[0.5506482985399581, 0.5506482985399581, 0.5506482985399581, 0.5506482985399581, 0.5506482985399581, 0.5506482985399581]","[0.5506838209733008, 0.5505483022838422, 0.5504293998576694, 0.5502360957613492, 0.55, 0.5500026094852407]",0.0,0.0006864304585414427,1.1102230246251565e-16
6,63,0.005,7.936507936507937e-05,0.18,True,0.39663607142857144,0.3967154365079365,"[0.5516204046913451, 0.5516204046913451, 0.5516204046913451, 0.5516204046913451, 0.5516204046913451, 0.5516204046913451]","[0.5517093746266046, 0.5513700302276444, 0.5510724753405045, 0.5505891525979296, 0.55, 0.550010598102777]",0.0,0.0017199727293815137,0.0
6,63,0.01,0.00015873015873015873,0.18,True,0.39659046296296296,0.3967491931216931,"[0.5532483262166394, 0.5532483262166394, 0.5532483262166394, 0.5532483262166394, 0.5532483262166394, 0.5532483262166394]","[0.553426801379312, 0.552746177689528, 0.5521495954724186, 0.5511809091963726, 0.55, 0.5500149184933522]",0.0,0.003441719872664062,0.0
6,63,0.02,0.00031746031746031746,0.18,True,0.3964992063492063,0.39681666666666665,"[0.5565270256952088, 0.5565270256952088, 0.5565270256952088, 0.5565270256952088, 0.5565270256952088, 0.5565270256952088]","[0.5568861322503177, 0.5555170907990943, 0.5543179930365459, 0.5523723833072762, 0.55, 0.5500043774407528]",0.0,0.006890509691070412,1.1102230246251565e-16
6,63,0.05,0.0007936507936507937,0.18,True,0.39625338624338624,0.39704703703703703,"[0.5665245387368117, 0.5665245387368117, 0.5665245387368117, 0.5665245387368117, 0.5665245387368117, 0.5665245387368117]","[0.5674388470731668, 0.5639575966688256, 0.5609181730089511, 0.5560048340479151, 0.5500382963523766, 0.55]",0.0,0.017438847073166786,0.0
7,127,0.002,1.5748031496062993e-05,0.18,True,0.19737956299212597,0.19739531102362204,"[0.5502926471806547, 0.5502926471806547, 0.5502926471806547, 0.5502926471806547, 0.5502926471806547, 0.5502926471806547, 0.5502926471806547]","[0.5502998685858683, 0.5504204366613883, 0.5502444482584062, 0.550194334499278, 0.5501096314576517, 0.55, 0.5500070198934518]",0.0,0.0005480246303599667,0.0
