model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
readout,0.173,0,0.31,3,7,1408,2816,0.18000000000000005,0.72,13853.709162053983,10845.610466348515,4.547473508864641e-13,11719.926308666869,0.7828669087449299,0.008496048188045169,0.009602249779836123
readout,0.173,0,0.31,4,15,3328,6656,0.18000000000000005,0.7260466131336252,85610.28681905306,77902.80439123,1.4580336937797256e-11,66599.13637027467,0.9099701366015316,0.003417724281997857,0.003582807329750235
readout,0.173,0,0.31,5,31,7296,14592,0.18000000000000005,0.7134640889222172,391079.8928887428,375287.81174204755,5.870504082849948e-11,366469.1145730627,0.9596192966351561,0.0015990691922472366,0.001632366862869254
readout,0.173,0,0.31,6,63,15360,30720,0.18000000000000005,0.7209860128669077,509345.20733379776,424914.3026068134,4.368416739453096e-11,426467.8561072836,0.8342363813160357,0.001401179865380571,0.0015340846526166348
readout,0.173,0,0.31,7,127,31616,63232,0.18000000000000005,0.7145000405198209,491983.1763517873,406809.37167096307,3.866773568006465e-11,426487.48184751446,0.8268765909590339,0.0014256892467880158,0.0015678500543730982
readout,0.173,0,0.31,8,255,64256,128512,0.18000000000000005,0.7216112762326303,4330650.140973075,2498087.9821358453,1.4566126083082054e-11,3380095.441398088,0.5768390197353919,0.00048053325712515017,0.0006326975241055817
readout,0.173,0,0.31,9,511,129664,259328,0.17999999999999994,0.7207151928881347,73924536.77840172,60819446.075427786,2.955857780762017e-11,62204215.47542755,0.8227233977500851,0.00011630695723327991,0.00012822678982906625
readout,0.173,1,0.87,3,7,1408,2816,0.18000000000000016,0.72,12549.300190261176,9662.11752266854,4.689582056016661e-13,11719.926308666869,0.7699327752289151,0.008926685740748432,0.01017334663008293
readout,0.173,1,0.87,4,15,3328,6656,0.17999999999999994,0.7307448704002062,73568.86365162156,65169.31356095572,5.9117155615240335e-12,66599.13637027466,0.8858273775922227,0.0036868288395423905,0.0039172241809835575
readout,0.173,1,0.87,5,31,7296,14592,0.18000000000000005,0.7216528642779791,366247.64556385763,350034.373467866,6.093614501878619e-11,366469.1145730627,0.9557313957034987,0.0016523900807429357,0.0016902255130485232
readout,0.173,1,0.87,6,63,15360,30720,0.17999999999999972,0.7261033564116556,486609.9281580074,418640.71299871284,0.0,426467.8561072836,0.8603209445056282,0.0014335390154113891,0.0015455365117936417
readout,0.173,1,0.87,7,127,31616,63232,0.18000000000000005,0.7297369232768183,510941.33389076544,423788.12877435074,9.094947017729282e-13,426487.48184751446,0.8294261995741232,0.0013989895848184868,0.0015361216371815318
readout,0.173,1,0.87,8,255,64256,128512,0.17999999999999994,0.7294597119301454,3667694.083037712,2128933.8759516855,7.30437932361383e-12,3380095.441398088,0.5804556835308435,0.0005221598172349459,0.0006853602521986106
readout,0.173,1,0.87,9,511,129664,259328,0.17999999999999994,0.7335155911407611,67882595.11870109,54842787.34107089,7.501526511077827e-09,62204215.47542757,0.8079064632866719,0.00012137263528175877,0.00013503310071785014
readout,0.173,2,1.49,3,7,1408,2816,0.18000000000000005,0.6985047115323899,9829.436475107666,7411.537874786614,2.3021584638627246e-12,11719.926308666869,0.7540145249990471,0.010086388450638646,0.01161571195340561
readout,0.173,2,1.49,4,15,3328,6656,0.17999999999999983,0.7442626052971444,72347.78712974244,63873.09456213881,9.094947017729282e-12,66599.13637027466,0.8828617584058814,0.0037178115642712687,0.003956771958382225
readout,0.173,2,1.49,5,31,7296,14592,0.18000000000000016,0.7358478391041429,339512.8701729051,322959.7370209095,3.637978807091713e-12,366469.1145730627,0.9512444605014074,0.001716215733096731,0.0017596480339793193
readout,0.173,2,1.49,6,63,15360,30720,0.17999999999999983,0.7409900509249322,483145.4360324972,422104.12055098923,1.729461018840084e-11,426467.8561072836,0.8736585075028998,0.0014386695752222466,0.001539182809046073
readout,0.173,2,1.49,7,127,31616,63232,0.18000000000000005,0.7438300253270391,522907.8932114229,434993.39600223093,1.6370904631912708e-11,426487.4818475143,0.8318738379157603,0.0013828892520436268,0.0015162075964331955
