model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,direct_k1_oracle_visibility,0.173,0,3,7,2816,512,-3.525150880767658e-05,0.007666958447039518,0.010674567643654712,0.017603415647283793,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,4,15,6656,512,-8.110519372725444e-05,0.004807416612670257,0.007365607394573496,0.012539743015056955,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,5,31,14592,512,-6.941272202271032e-05,0.003180847098850831,0.004732473350149417,0.007854955241139532,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,6,63,30720,512,0.00022747372753489925,0.0023068296747303374,0.0033366473087261582,0.00535859566335694,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,7,127,63232,512,-0.00010083719043035844,0.0015818803713023577,0.002309562687094368,0.0037385057286471457,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,8,255,128512,512,-6.963641443868962e-06,0.001155760368842615,0.0016591058430670627,0.002808402424932883,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,0,9,511,259328,512,1.484910864502087e-05,0.0007924638209815676,0.0011503018008843366,0.0018383057136062142,0.0,-0.49594454381255854,0.9995807015628235
gate,direct_k1_oracle_visibility,0.173,1,3,7,2816,512,-8.01402773229487e-05,0.006639370128209282,0.010264788467997148,0.016675843050592998,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,4,15,6656,512,0.00027699754320797965,0.004807416612670257,0.007087991119978639,0.011722653977839115,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,5,31,14592,512,0.00019111251801601226,0.0029711083616865974,0.004639107169309893,0.007644421701733628,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,6,63,30720,512,-0.00010729279774129852,0.002406051826013861,0.003411565407202174,0.005610998030871589,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,7,127,63232,512,9.543375148046707e-05,0.0015818803713023577,0.0022783403924424733,0.0036909018778797627,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,8,255,128512,512,-6.002133421484368e-05,0.0010743358665272484,0.0016567999980897654,0.002711577307173224,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,1,9,511,259328,512,-3.14548125002756e-05,0.0007655952389776927,0.001159965441781251,0.001896913710855208,0.0,-0.5001604980436967,0.9983069595591149
gate,direct_k1_oracle_visibility,0.173,2,3,7,2816,512,0.00015770928447467192,0.007666958447039518,0.011344468526301702,0.018622964894571103,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,4,15,6656,512,0.00010572318899276789,0.004807416612670257,0.007019752213987401,0.011297717385841816,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,5,31,14592,512,-0.0002515489963442752,0.003209512039401896,0.0048884231954355725,0.008075586752146896,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,6,63,30720,512,-8.278076283435576e-05,0.002392419749326219,0.0033283549240337705,0.005449781395415668,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,7,127,63232,512,2.3486619071866333e-05,0.001653828244048805,0.0023810819204398547,0.00378451429168431,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,8,255,128512,512,-1.5660209929602154e-05,0.0011263454215985902,0.001594392955804852,0.0025113551019242397,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,9,511,259328,512,7.983986455850633e-06,0.0007283929785855958,0.0011467211167218005,0.001882859774174537,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.231,0,3,7,2816,512,-0.0005756899499852752,0.007064462744800798,0.010432590364752237,0.017323436150759902,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,4,15,6656,512,-7.241153399448197e-05,0.004472109684934139,0.006961644550628574,0.011210958031892228,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,5,31,14592,512,-0.00018402074424656023,0.003350457475056301,0.004714501225326148,0.007689300276828262,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,6,63,30720,512,-9.795541647458772e-05,0.0019744784168538726,0.002944110854194761,0.004779024431667387,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,7,127,63232,512,8.296979121463766e-05,0.0014862995543641344,0.0022162098259188943,0.0036280371065653,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,8,255,128512,512,-1.7955759408327943e-05,0.001077260995084789,0.0015197290828314316,0.0025470759820066476,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,9,511,259328,512,-9.760594326521654e-05,0.0007148942887860721,0.0010811887296190443,0.001808716857251495,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,1,3,7,2816,512,-0.0009565037290295009,0.007551771609199676,0.0107246863463315,0.018140594637017317,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,4,15,6656,512,-0.00038269877527524754,0.004130594367252466,0.006489764802961882,0.010499806303244458,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,5,31,14592,512,8.737752630938456e-05,0.0030326732992205785,0.004732684908413842,0.008005646985463077,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,6,63,30720,512,0.00014476090674245268,0.002212311620575863,0.003238186619790061,0.00519391315023332,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,7,127,63232,512,-5.710280909695942e-05,0.0014098786128303176,0.0021213653327138236,0.003629187643768404,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,8,255,128512,512,-4.17832787830974e-05,0.0009617681934452893,0.0014676320996769461,0.002351017201915856,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,9,511,259328,512,-6.370596343541202e-05,0.0006928171823526175,0.0010300441623409709,0.0016786902234368689,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,2,3,7,2816,512,-0.00017658438521547803,0.0067616240225236435,0.010031476670879618,0.016852256144727962,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,4,15,6656,512,-0.0001192829548044283,0.0044703733410172,0.006637393579839863,0.011210958031892228,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,5,31,14592,512,1.7009033584286515e-05,0.002928980321468766,0.004375228576692165,0.007358186045795523,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,6,63,30720,512,0.0002754370038603182,0.002287496521197835,0.0032155620655987534,0.00539012398820829,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,7,127,63232,512,7.880700585027878e-05,0.0013770811940368166,0.002041781421315374,0.0032711646830690454,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,8,255,128512,512,-4.4419089640895804e-05,0.0009528968767708174,0.0014542054129450168,0.002331286565905311,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,9,511,259328,512,-9.409579040831062e-06,0.0007590509058601064,0.0010954363315771635,0.0017799801567869034,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.317,0,3,7,2816,512,-0.00016252664967203456,0.006221623709556867,0.010074407836995022,0.016657915040194204,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,4,15,6656,512,-0.0009080725888101493,0.004645747119064958,0.006870981351785371,0.010749446880237663,0.0,-0.4685627375684375,0.9988831241119981
