k,total_time,original_success,reduced_success,absolute_difference,log_success_ratio,disconnected_log_success_ratio
1,5.0,0.8301041773959646,0.9783025109777075,0.14819833358174284,0.16426773028543398,0.16426773028543398
1,10.0,0.5148499175137885,0.7989439959393433,0.2840940784255548,0.43941541472929985,0.43941541472929985
1,20.0,0.9441393316399225,0.9964029950650243,0.0522636634251018,0.05387803693940939,0.05387803693940939
2,5.0,0.8650160988223503,0.9780957735258552,0.11307967470350488,0.12285947506672824,0.32853546057086797
2,10.0,0.4834232133931288,0.7590562423960265,0.2756330290028977,0.4511833871011077,0.8788308294585998
2,20.0,0.9428105501209018,0.9931206278707738,0.05031007774987206,0.05198677368586447,0.10775607387881864
3,5.0,0.8790486482213785,0.9778890797622838,0.09884043154090527,0.10655600711136794,0.4928031908563018
3,10.0,0.47523457155644655,0.7211599086403732,0.2459253370839266,0.41705238299570807,1.3182462441878997
3,20.0,0.9375202423968065,0.9898490735047032,0.052328831107896656,0.054314131000058295,0.16163411081822815
4,5.0,0.883621691482749,0.9776824296778059,0.09406073819505689,0.1011558830437364,0.6570709211417358
4,10.0,0.4761019394599306,0.6851555718566141,0.2090536323966835,0.36401393484356886,1.7576616589171998
4,20.0,0.9443910484046283,0.9865882963470493,0.04219724794242097,0.043712499556747476,0.21551214775763755
