k,total_time,steps,original_success,reduced_success,absolute_difference,log_success_ratio,disconnected_original_success,disconnected_reduced_success,disconnected_log_success_ratio
1,5.0,480,0.875040697534369,0.9997886773778676,0.12474797984349861,0.1332735372843933,0.875040697534369,0.9997886773778676,0.1332735372843933
1,10.0,480,0.5554190009375937,0.9500744060333931,0.39465540509579944,0.5368175181136512,0.5554190009375937,0.9500744060333931,0.5368175181136512
1,20.0,480,0.9014069169140462,0.9967057834927077,0.09529886657866149,0.10049884084743378,0.9014069169140462,0.9967057834927077,0.10049884084743378
2,5.0,480,0.9026468073234094,0.9995773994129827,0.09693059208957333,0.10200124470183669,0.765696222341435,0.9995773994129858,0.2665470745687865
2,10.0,480,0.624222084308201,0.9026413769997262,0.2784192926915252,0.36881911896328307,0.30849026660251466,0.9026413769997047,1.0736350362273024
2,20.0,480,0.9427475666932819,0.9934224188478319,0.05067485215455003,0.05235741515190273,0.8125344298604862,0.9934224188478122,0.2009976816948675
3,5.0,480,0.8980025268976987,0.9993661660959133,0.10136363919821467,0.10694836190492142,0.6700153564970805,0.9993661660959176,0.3998206118531797
3,10.0,480,0.6836727500837557,0.8575764701142087,0.17390372003045296,0.22663098545404922,0.17134135567534062,0.8575764701141585,1.6104525543409534
3,20.0,480,0.9491935554012741,0.9901498703169687,0.040956314915694514,0.04224358079681558,0.7324241553070531,0.9901498703169295,0.3014965225423014
4,5.0,480,0.9125192196954461,0.9991549774172305,0.08663575772178433,0.09070075125175166,0.5862907049079442,0.9991549774172277,0.5330941491375729
4,10.0,480,0.705576908941945,0.8147614554719885,0.1091845465300435,0.1438795989909159,0.09516624458849059,0.814761455471923,2.1472700724546048
4,20.0,480,0.9511872840944569,0.9868881022694663,0.035700818175009474,0.03684568443588452,0.6602121997087053,0.9868881022694381,0.40199536338973535
5,5.0,480,0.9230188138234642,0.9989438333675077,0.07592501954404351,0.0790489365768292,0.5130282273805644,0.9989438333674833,0.6663676864219662
5,10.0,480,0.68567366433167,0.7740840058664671,0.0884103415347971,0.1212785958418343,0.05285714049232212,0.7740840058663901,2.684087590568256
5,20.0,480,0.9429744792292897,0.983637079192135,0.04066259996284538,0.04221778817783055,0.5951198434484646,0.9836370791920918,0.5024942042371692
