petal_size,internal_edges,hub_neighbors,leaf_count,signatures,best_time,best_slope,best_r2,k3_difference,screen_records
3,[],"[0, 1, 2]",1,"['Ds_', 'GsaCC?', 'JsaCCA?_C??']",10.0,0.18091954788818096,0.9947495567124875,0.10664013919957772,"{""10.0"": {""absolute_differences"": [0.17265651295632362, 0.1491324634787458, 0.10664013919957772], ""fit"": {""intercept"": 0.16923426450785323, ""r2"": 0.9947495567124875, ""slope"": 0.18091954788818096}, ""log_ratios"": [0.3425651370204904, 0.5462507110353029, 0.7044042327968525]}, ""5.0"": {""absolute_differences"": [0.15219926544072926, 0.1273247364837582, 0.10619627226489137], ""fit"": {""intercept"": 0.19644010841288087, ""r2"": 0.9990330050782557, ""slope"": -0.019485938754549237}, ""log_ratios"": [0.17730418161819506, 0.15676820698405558, 0.13833230410909664]}}"
2,[],"[0, 1]",2,"['Ds_', 'FsaC?', 'HsaCCA?']",10.0,0.14833929526287531,0.978394724439288,0.1407792131199589,"{""10.0"": {""absolute_differences"": [0.17265651295632362, 0.15336893275872981, 0.1407792131199589], ""fit"": {""intercept"": 0.18149906465812077, ""r2"": 0.978394724439288, ""slope"": 0.14833929526287531}, ""log_ratios"": [0.3425651370204904, 0.452724100984882, 0.6392437275462413]}, ""5.0"": {""absolute_differences"": [0.15219926544072926, 0.13575459487003694, 0.11957514449987683], ""fit"": {""intercept"": 0.19113658444749393, ""r2"": 0.999560034418088, ""slope"": -0.013666859000150832}, ""log_ratios"": [0.17730418161819506, 0.16413395410548834, 0.14997046361789343]}}"
3,[],"[0, 1, 2]",2,"['Esa?', 'HsaCCA?', 'KsaCCA?_C?O?']",10.0,0.12668362700213123,0.7227482663121243,0.08293294692868865,"{""10.0"": {""absolute_differences"": [0.15715522266089033, 0.1407792131199589, 0.08293294692868865], ""fit"": {""intercept"": 0.2952753750775985, ""r2"": 0.7227482663121243, ""slope"": 0.12668362700213123}, ""log_ratios"": [0.3766584528475394, 0.6392437275462413, 0.630025706851802]}, ""5.0"": {""absolute_differences"": [0.14437456736361354, 0.11957514449987683, 0.10040819929025169], ""fit"": {""intercept"": 0.18962513204717943, ""r2"": 0.9947111887533079, ""slope"": -0.019026347470546642}, ""log_ratios"": [0.17139977132072914, 0.14997046361789343, 0.13334707637963594]}}"
2,[],"[0, 1]",1,"['Cs', 'Esa?', 'GsaCC?']",10.0,0.11415012087394699,0.9270992257951093,0.1491324634787458,"{""10.0"": {""absolute_differences"": [0.19272977059418817, 0.15715522266089033, 0.1491324634787458], ""fit"": {""intercept"": 0.18531963597552317, ""r2"": 0.9270992257951093, ""slope"": 0.11415012087394699}, ""log_ratios"": [0.3179504692874089, 0.3766584528475394, 0.5462507110353029]}, ""5.0"": {""absolute_differences"": [0.16320986394418946, 0.14437456736361354, 0.1273247364837582], ""fit"": {""intercept"": 0.20182491336305503, ""r2"": 0.9997212784942333, ""slope"": -0.015067319350040588}, ""log_ratios"": [0.1869028456841367, 0.17139977132072914, 0.15676820698405558]}}"
3,"[[0, 2], [1, 2]]",[2],2,"['EoAW', 'HoAW?AB', 'KoAW?AB???OB']",10.0,0.06732692525909158,0.8109296500778065,0.08763522023928774,"{""10.0"": {""absolute_differences"": [0.21307566205330658, 0.14610486780552676, 0.08763522023928774], ""fit"": {""intercept"": 0.5083875901220263, ""r2"": 0.8109296500778065, ""slope"": 0.06732692525909158}, ""log_ratios"": [0.5569452066522076, 0.6805800580980291, 0.691599057170391]}, ""5.0"": {""absolute_differences"": [0.09161254678856345, 0.018954896193938975, 0.016125085272541917], ""fit"": {""intercept"": 0.21215809355997434, ""r2"": 0.9921608809034373, ""slope"": -0.08456882758961978}, ""log_ratios"": [0.13192929129772563, 0.03434038772599276, -0.0372083638815139]}}"
3,"[[0, 1], [1, 2]]",[1],2,"['EocG', 'HocGCC@', 'KocGCC@?C?_@']",10.0,0.06732692525909018,0.8109296500778089,0.08763522023928726,"{""10.0"": {""absolute_differences"": [0.21307566205330652, 0.14610486780552584, 0.08763522023928726], ""fit"": {""intercept"": 0.5083875901220264, ""r2"": 0.8109296500778089, ""slope"": 0.06732692525909018}, ""log_ratios"": [0.5569452066522073, 0.6805800580980257, 0.6915990571703878]}, ""5.0"": {""absolute_differences"": [0.09161254678856379, 0.01895489619393964, 0.016125085272540363], ""fit"": {""intercept"": 0.212158093559973, ""r2"": 0.9921608809034358, ""slope"": -0.08456882758961823}, ""log_ratios"": [0.1319292912977262, 0.034340387725993834, -0.037208363881510206]}}"
3,"[[0, 1], [0, 2]]",[0],2,"['EsCO', 'HsCS?CA', 'KsCS?CA_??_A']",10.0,0.06732692525908629,0.8109296500777924,0.08763522023928687,"{""10.0"": {""absolute_differences"": [0.21307566205330786, 0.14610486780552534, 0.08763522023928687], ""fit"": {""intercept"": 0.5083875901220338, ""r2"": 0.8109296500777924, ""slope"": 0.06732692525908629}, ""log_ratios"": [0.5569452066522106, 0.680580058098025, 0.6915990571703835]}, ""5.0"": {""absolute_differences"": [0.09161254678856434, 0.018954896193939086, 0.016125085272540196], ""fit"": {""intercept"": 0.21215809355997378, ""r2"": 0.992160880903434, ""slope"": -0.08456882758961853}, ""log_ratios"": [0.13192929129772718, 0.034340387725992974, -0.03720836388150986]}}"
3,"[[0, 2], [1, 2]]","[0, 1]",2,"['Es_W', 'Hs_[C?B', 'Ks_[C?B_C??B']",10.0,0.052850626653075584,0.7023249273297235,0.05155601618277218,"{""10.0"": {""absolute_differences"": [0.10725038853413188, 0.06204254830826786, 0.05155601618277218], ""fit"": {""intercept"": 0.1692918050209551, ""r2"": 0.7023249273297235, ""slope"": 0.052850626653075584}, ""log_ratios"": [0.24200757516711907, 0.23526277134092913, 0.3477088284732703]}, ""5.0"": {""absolute_differences"": [0.17713452457574408, 0.12914643716280838, 0.09248665560975838], ""fit"": {""intercept"": 0.2877955259273832, ""r2"": 0.9915356358538808, ""slope"": -0.013959045083063698}, ""log_ratios"": [0.2730918550296028, 0.26136668739068947, 0.24517376486347547]}}"
3,"[[0, 1], [0, 2]]","[1, 2]",2,"['EoeO', 'HoeOCEA', 'KoeOCEA?C?oA']",10.0,0.052850626653074786,0.702324927329684,0.0515560161827717,"{""10.0"": {""absolute_differences"": [0.1072503885341316, 0.06204254830826597, 0.0515560161827717], ""fit"": {""intercept"": 0.16929180502095303, ""r2"": 0.702324927329684, ""slope"": 0.052850626653074786}, ""log_ratios"": [0.24200757516711785, 0.23526277134092244, 0.3477088284732675]}, ""5.0"": {""absolute_differences"": [0.1771345245757442, 0.129146437162808, 0.09248665560976049], ""fit"": {""intercept"": 0.2877955259273806, ""r2"": 0.991535635853904, ""slope"": -0.013959045083061469}, ""log_ratios"": [0.27309185502960337, 0.2613666873906888, 0.24517376486348053]}}"
3,"[[0, 1], [1, 2]]","[0, 2]",2,"['EsEG', 'HsEK?E@', 'KsEK?E@_??o@']",10.0,0.052850626653071255,0.7023249273297021,0.05155601618277095,"{""10.0"": {""absolute_differences"": [0.10725038853413177, 0.062042548308267026, 0.05155601618277095], ""fit"": {""intercept"": 0.1692918050209597, ""r2"": 0.7023249273297021, ""slope"": 0.052850626653071255}, ""log_ratios"": [0.24200757516711874, 0.2352627713409263, 0.34770882847326134]}, ""5.0"": {""absolute_differences"": [0.17713452457574408, 0.12914643716280932, 0.09248665560976066], ""fit"": {""intercept"": 0.28779552592738067, ""r2"": 0.9915356358538855, ""slope"": -0.01395904508306102}, ""log_ratios"": [0.2730918550296032, 0.2613666873906915, 0.24517376486348122]}}"
