epsilon,delta,high_p0,low_p0,signed_gap,absolute_gap,same_order,retains_half_training_gap
0.005,0.0,1.0,0.9995066212382778,0.0004933787617221741,0.0004933787617221741,True,False
0.005,0.005,0.9999999996954645,0.9991448406570371,0.0008551590384273666,0.0008551590384273666,True,False
0.005,0.01,0.9999999951763825,0.9986817573354964,0.0013182378408861384,0.0013182378408861384,True,False
0.005,0.02,0.9999999243930199,0.997446231956169,0.002553692436850885,0.002553692436850885,True,False
0.01,0.0,1.0,0.9980277019985603,0.0019722980014397207,0.0019722980014397207,True,False
0.01,0.005,0.9999999997002968,0.9973600036716674,0.00263999602862941,0.00263999602862941,True,False
0.01,0.01,0.9999999952525633,0.996591364716546,0.003408630536017365,0.003408630536017365,True,False
0.01,0.02,0.9999999255746821,0.994746178504626,0.005253747070056103,0.005253747070056103,True,True
0.02,0.0,1.0,0.9921302534742629,0.007869746525737131,0.007869746525737131,True,True
0.02,0.005,0.999999999709952,0.9908698083879971,0.009130191321954917,0.009130191321954917,True,True
0.02,0.02,0.9999999279367955,0.9864859146059116,0.013514013330883867,0.013514013330883867,True,True
0.04,0.0,0.9999999999999996,0.9688304039283425,0.031169596071657035,0.031169596071657035,True,True
0.04,0.005,0.9999999997291589,0.9664752444810586,0.03352475524810028,0.03352475524810028,True,True
0.04,0.01,0.9999999957076744,0.9640247820247682,0.03597521368290624,0.03597521368290624,True,True
0.04,0.02,0.9999999326423474,0.9588349609808825,0.04116497166146493,0.04116497166146493,True,True
