trial,pair_budget,best_gap,fraction_of_optimum
0,16,0.0045232109963415645,0.4311790744829569
0,64,0.0045232109963415645,0.4311790744829569
0,256,0.010261472313090048,0.9781838915693466
0,1024,0.010309671738194748,0.9827785442450817
1,16,0.002439046757394814,0.23250428165406273
1,64,0.002439046757394814,0.23250428165406273
1,256,0.005456734662567908,0.5201680406702455
1,1024,0.010367497539802373,0.9882908397445791
2,16,0.005443646459266205,0.5189203961560193
2,64,0.005443646459266205,0.5189203961560193
2,256,0.0059013543234186505,0.562551801679318
2,1024,0.010375683119838497,0.9890711373753854
3,16,0.004596750178821107,0.43818926186210166
3,64,0.004596750178821107,0.43818926186210166
3,256,0.010271678490093472,0.979156804386791
3,1024,0.010368897870858262,0.9884243275365784
4,16,0.004199675967698213,0.4003378127496245
4,64,0.010261472313090492,0.978183891569389
4,256,0.010261472313090492,0.978183891569389
4,1024,0.010298554964764617,0.9817188280207629
5,16,0.0019041149103297128,0.1815114319029583
5,64,0.0019041149103297128,0.1815114319029583
5,256,0.010374483279702917,0.9889567615570553
5,1024,0.010402333470027614,0.991611605493827
6,16,0.001983588814760795,0.18908735188233952
6,64,0.004985530242820668,0.4752500640905053
6,256,0.010279379695413926,0.9798909285709518
6,1024,0.010365133828514117,0.9880655168829131
7,16,0.00030083961313509544,0.028677801248784798
7,64,0.0039458275711674595,0.37613949063649715
7,256,0.0053399576324495435,0.5090361673598848
7,1024,0.01046782030072202,0.9978541953426034
8,16,0.00034189314999355513,0.03259126582985337
8,64,0.005541669687590733,0.5282645467828608
8,256,0.005541669687590733,0.5282645467828608
8,1024,0.010402450326985724,0.9916227449863436
9,16,0.010268865268515559,0.9788886315606148
9,64,0.010268865268515559,0.9788886315606148
9,256,0.010268865268515559,0.9788886315606148
9,1024,0.010490311668011842,0.9999982047509034
10,16,0.005424766270661907,0.5171206255384095
10,64,0.005424766270661907,0.5171206255384095
10,256,0.010397502103870915,0.9911510512571091
10,1024,0.010397502103870915,0.9911510512571091
11,16,0.00281509557644688,0.26835146673793864
11,64,0.00386768042572605,0.3686900451270647
11,256,0.010465960849595946,0.9976769415252964
11,1024,0.010465960849595946,0.9976769415252964
12,16,0.0032731967574967102,0.31202036554110635
12,64,0.0053399576324497655,0.5090361673599059
12,256,0.010168736011916368,0.9693437219324712
12,1024,0.010467347374453428,0.9978091132292652
13,16,0.0006416395795295626,0.061164858388644286
13,64,0.0032805675326601502,0.3127229911793453
13,256,0.010397551378970249,0.9911557484493788
13,1024,0.010397551378970249,0.9911557484493788
14,16,0.010259308162416492,0.9779775919991475
14,64,0.010303660688198546,0.9822055356067207
14,256,0.010303660688198546,0.9822055356067207
14,1024,0.010303660688198546,0.9822055356067207
15,16,0.0003215802573870441,0.030654921440606192
15,64,0.00532180998628462,0.5073062269958901
15,256,0.0053305698291844505,0.5081412667402708
15,1024,0.010402420117129108,0.991619865205138
16,16,0.004619347746476654,0.44034339491385743
16,64,0.004619347746476654,0.44034339491385743
16,256,0.005216265945633958,0.4972451483060496
16,1024,0.010467820300721797,0.9978541953425822
17,16,0.004607019338486951,0.43916817855734697
17,64,0.005294319479167808,0.5046856701778948
17,256,0.00539645452205717,0.5144217831518266
17,1024,0.01036938347455374,0.988470618136807
18,16,0.0027098209567305576,0.25831607083610186
18,64,0.0027098209567305576,0.25831607083610186
18,256,0.004557841031591181,0.4344802131122003
18,1024,0.010308151410626354,0.9826336176797764
19,16,0.0032690965596283705,0.3116295105658471
19,64,0.004044950619336962,0.38558848255932016
19,256,0.010365133828514339,0.9880655168829343
19,1024,0.010395677164022454,0.990977087257755
20,16,0.003275138599364902,0.3122054733285159
20,64,0.010396641865540124,0.9910690482801078
20,256,0.010396641865540124,0.9910690482801078
20,1024,0.010396641865540124,0.9910690482801078
21,16,0.0003820598286803367,0.03642018987412826
21,64,0.0037984432555598913,0.36208995086301
21,256,0.010490311668012287,0.9999982047509457
21,1024,0.010490311668012287,0.9999982047509457
