estimator,theta,curvature,depth,duration,physical_depth_budget,trials,bias,deterministic_bias,rmse,median_absolute_error,q90_absolute_error,crossover_xi,normalized_absolute_deterministic_bias
amplified_rtr,0.173,0.0,1,1.0,1536,4096,-0.0005315999110164701,0.0,0.03966987691261165,0.02637056185660064,0.06569744714626519,0.0,0.0
amplified_rtr,0.173,0.0,3,3.0,4608,4096,0.00031840485412311614,0.0,0.011787664775855997,0.00775492249667227,0.01949020843058434,0.0,0.0
amplified_rtr,0.173,0.0,7,7.0,10752,4096,-5.859596491886855e-06,0.0,0.0051319919746195194,0.0034882177506871115,0.008416178578662448,0.0,0.0
amplified_rtr,0.173,0.0,15,15.0,23040,4096,5.8244173656175004e-05,0.0,0.0025368298368014116,0.0016925287486399265,0.004189430352656648,0.0,0.0
amplified_rtr,0.173,0.0,31,31.0,47616,4096,5.985525005620999e-06,0.0,0.0012232708485577345,0.0008293825578088304,0.002029047720401897,0.0,0.0
amplified_rtr,0.173,0.0,63,63.0,96768,4096,2.121506801498649e-05,0.0,0.0006669658372349,0.0004609827467823152,0.0011008673468143049,0.0,0.0
amplified_rtr,0.173,0.0,127,127.0,195072,4096,-4.0616957493821255e-06,0.0,0.00032117926934486677,0.00021911109764818915,0.0005216866249531937,0.0,0.0
amplified_rtr,0.173,0.0,255,255.0,391680,4096,-1.007542969472239e-06,0.0,0.000152044366268437,0.00010103947411363445,0.0002512074614941101,0.0,0.0
amplified_rtr,0.173,1e-09,1,1.0,1536,4096,0.0003216970030615267,-5e-10,0.03900699595052362,0.026323905495013622,0.06485359646502081,1e-09,5e-10
amplified_rtr,0.173,1e-09,3,3.0,4608,4096,0.00029475331176404836,-4.500000000000001e-09,0.011621760418950564,0.007781479113414452,0.019135236013588658,2.7e-08,1.3500000000000002e-08
amplified_rtr,0.173,1e-09,7,7.0,10752,4096,-9.203325158048076e-05,-2.45e-08,0.00526586247933239,0.0035444939210799303,0.008692813343067374,3.4300000000000004e-07,1.7150000000000002e-07
amplified_rtr,0.173,1e-09,15,15.0,23040,4096,4.427942637459703e-05,-1.1250000000000002e-07,0.0024883942333294314,0.0016812387448582322,0.004045353397593376,3.3750000000000003e-06,1.6875000000000004e-06
amplified_rtr,0.173,1e-09,31,31.0,47616,4096,-8.994148268246865e-06,-4.805e-07,0.0012158752206931104,0.0008169233719937524,0.0020209105236613234,2.9791000000000003e-05,1.48955e-05
amplified_rtr,0.173,1e-09,63,63.0,96768,4096,-7.276887853645668e-06,-1.9845000000000002e-06,0.0006530471293909879,0.00044453731047600087,0.0010860314776702656,0.00025004700000000004,0.00012502350000000002
amplified_rtr,0.173,1e-09,127,127.0,195072,4096,-1.1520609007274025e-05,-8.0645e-06,0.0003266950269257549,0.0002183272513653911,0.000536027215358989,0.002048383,0.0010241915
amplified_rtr,0.173,1e-09,255,255.0,391680,4096,-3.698249987763855e-05,-3.25125e-05,0.0001567320234511917,0.00010544391465298897,0.00025748807325207124,0.016581375000000002,0.0082906875
amplified_rtr,0.173,3e-09,1,1.0,1536,4096,0.0008659380177853042,-1.5e-09,0.03941908758307921,0.027423518887606746,0.06452190206700661,3e-09,1.5e-09
amplified_rtr,0.173,3e-09,3,3.0,4608,4096,4.2957103938210756e-05,-1.35e-08,0.011723059194855051,0.007846044070143651,0.019226954096021903,8.1e-08,4.05e-08
amplified_rtr,0.173,3e-09,7,7.0,10752,4096,-9.660357672338613e-05,-7.35e-08,0.005201731991317363,0.0034909770893450515,0.008722180950093195,1.029e-06,5.145e-07
amplified_rtr,0.173,3e-09,15,15.0,23040,4096,-2.624084645455258e-05,-3.3749999999999995e-07,0.0025563068632147323,0.0017284859941740088,0.004146037578089332,1.0125e-05,5.062499999999999e-06
amplified_rtr,0.173,3e-09,31,31.0,47616,4096,1.833350551304078e-05,-1.4415e-06,0.0012098337142663668,0.0008107790928035125,0.001979152340525453,8.9373e-05,4.46865e-05
amplified_rtr,0.173,3e-09,63,63.0,96768,4096,7.992311526132582e-06,-5.953500000000001e-06,0.000642729532438556,0.00043178939529750493,0.0010559712043700514,0.000750141,0.00037507050000000003
amplified_rtr,0.173,3e-09,127,127.0,195072,4096,-1.6580164726097218e-05,-2.4193499999999998e-05,0.0003171585647263945,0.0002165459190313912,0.0005170439578532915,0.006145149,0.0030725744999999995
amplified_rtr,0.173,3e-09,255,255.0,391680,4096,-0.00010175568544480612,-9.753750000000002e-05,0.00018537910209431879,0.00012420451093417273,0.00030243038033841985,0.049744125,0.024872062500000004
amplified_rtr,0.173,1e-08,1,1.0,1536,4096,0.0004863729328489074,-5.000000000000001e-09,0.03891441965831102,0.026620945334143165,0.06473217637626852,1e-08,5.000000000000001e-09
amplified_rtr,0.173,1e-08,3,3.0,4608,4096,0.00021880232897019991,-4.499999999999999e-08,0.01157657571182795,0.007432791567111921,0.019347652789657444,2.7e-07,1.3499999999999998e-07
amplified_rtr,0.173,1e-08,7,7.0,10752,4096,0.0001891946192168711,-2.45e-07,0.005259883475644107,0.0035492697403359252,0.008575002822140354,3.43e-06,1.7149999999999999e-06
