case,setting,ordering,exact_delta,mps_delta,telescope_pair_width,certified,correct_sign,certified_correct,accumulated_angle_certified,accumulated_angle_pair_width
chesapeake,released,sorted,-0.13421359145382505,-0.10866857935604557,0.1733571834407272,False,True,False,False,2.0
chesapeake,released,spectral,-0.13421359145382672,-0.12179970632876203,0.14853634302140256,False,True,False,False,2.0
chesapeake,confirm,sorted,-0.13421359145382505,-0.13603743450894812,0.015652463329865085,True,True,True,False,1.2651535332899861
chesapeake,confirm,spectral,-0.13421359145382672,-0.13609917517846248,0.013704516576221017,True,True,True,False,1.1173624438398804
chesapeake,bond128,sorted,-0.13421359145382505,-0.13421359163771163,3.876262589739497e-09,True,True,True,True,2e-07
chesapeake,bond128,spectral,-0.13421359145382672,-0.13421359166704583,4.370191487521822e-09,True,True,True,True,2e-07
chesapeake,cutoff1e-4,sorted,-0.13421359145382505,-0.13603743450894812,0.015652463329865085,True,True,True,False,1.2651535332899861
chesapeake,cutoff1e-4,spectral,-0.13421359145382672,-0.13609917517846248,0.013704516576221017,True,True,True,False,1.1173624438398804
chesapeake,cutoff1e-5,sorted,-0.13421359145382505,-0.13426094643799824,0.003395126514247949,True,True,True,False,0.2837402561228335
chesapeake,cutoff1e-5,spectral,-0.13421359145382672,-0.13434704760348648,0.003070344122252212,True,True,True,False,0.2517784991048434
football,released,sorted,0.01926887487931439,0.0518573176674908,0.13287027888714426,False,True,False,False,2.0
football,released,spectral,0.019268874879312947,0.03901094660400928,0.10860342100275061,False,True,False,False,2.0
football,confirm,sorted,0.01926887487931439,0.019192413805283026,0.020308819946892764,False,True,False,False,1.1856808711971836
football,confirm,spectral,0.019268874879312947,0.02059514408481644,0.017647313520957886,True,True,True,False,1.0811572061032586
football,bond128,sorted,0.01926887487931439,0.019268876022628056,3.6173681283149223e-09,True,True,True,True,4.5523861384986404e-07
football,bond128,spectral,0.019268874879312947,0.01926887542629785,4.23022034173681e-09,True,True,True,True,8.724382294631619e-07
football,cutoff1e-4,sorted,0.01926887487931439,0.019192413805283026,0.020308819946892764,False,True,False,False,1.1856808711971836
football,cutoff1e-4,spectral,0.019268874879312947,0.02059514408481644,0.017647313520957886,True,True,True,False,1.0811572061032586
football,cutoff1e-5,sorted,0.01926887487931439,0.01942736134952372,0.003312283801817751,True,True,True,False,0.25224101271722565
football,cutoff1e-5,spectral,0.019268874879312947,0.019201603655685462,0.0038765672347738653,True,True,True,False,0.2279989007815061
