case,qubits,method,schedule,ordering,setting,bond,cutoff,circuit_file,circuit_sha256,bks_projector_rank,native_gate_count,checkpoint_count,p_bks_exact,p_bks_mps,actual_bks_error,observable_telescope_bound,telescope_signed_sum,telescope_identity_error,bound_slack,cancellation_ratio,simulation_seconds
chesapeake,7,prior_matched_random,MR,sorted,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__sorted.qpy,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,1,427,212,0.6640795390180093,0.6640795387702283,2.4778101792577445e-10,1.1006578981564985e-09,-2.477796856581449e-10,1.3322676295501878e-15,8.528768802307241e-10,4.442058989709263,0.019894599972758442
chesapeake,7,prior_matched_random,MR,spectral,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__spectral.qpy,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,1,427,212,0.6640795390180081,0.6640795387390086,2.789994901775117e-10,1.4576122531195779e-09,-2.789994901775117e-10,0.0,1.1786127629420662e-09,5.2244262245503785,0.018327999976463616
chesapeake,7,published_lr,LR,sorted,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__sorted.qpy,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,1,427,212,0.7982931304718344,0.7982931304079399,6.389444529020238e-11,7.756046915829984e-10,-6.389577755783193e-11,1.3322676295501878e-15,7.11710246292796e-10,12.138843808100642,0.0195351000293158
chesapeake,7,published_lr,LR,spectral,bond128,128,1e-12,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__spectral.qpy,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,1,427,212,0.7982931304718348,0.7982931304060544,6.578038114213314e-11,9.125792344022443e-10,-6.578304567739224e-11,2.6645352591003757e-15,8.467988532601112e-10,13.87312172044753,0.018515000003390014
chesapeake,7,prior_matched_random,MR,sorted,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__sorted.qpy,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,1,427,212,0.6640795390180093,0.6626502511927927,0.001429287825216563,0.008738833248142508,-0.0014292878252152308,1.3322676295501878e-15,0.007309545422925945,6.114117180574469,0.019104400009382516
chesapeake,7,prior_matched_random,MR,spectral,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__spectral.qpy,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,1,427,212,0.6640795390180081,0.6624474254702714,0.0016321135477367354,0.008431021848616882,-0.0016321135477367354,0.0,0.0067989083008801465,5.165707900843201,0.01871839998057112
chesapeake,7,published_lr,LR,sorted,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__sorted.qpy,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,1,427,212,0.7982931304718344,0.7986876857017409,0.0003945552299065014,0.006913628081722578,0.0003945552299051691,1.3322676295501878e-15,0.006519072851816077,17.522586339461057,0.019546399998944253
chesapeake,7,published_lr,LR,spectral,confirm,128,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__spectral.qpy,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,1,427,212,0.7982931304718348,0.7985466006487338,0.00025347017689902884,0.005273492727604134,0.0002534701768963643,2.6645352591003757e-15,0.0050200225507051055,20.805180286376878,0.01804719999199733
chesapeake,7,prior_matched_random,MR,sorted,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__sorted.qpy,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,1,427,212,0.6640795390180093,0.6626502511927927,0.001429287825216563,0.008738833248142508,-0.0014292878252152308,1.3322676295501878e-15,0.007309545422925945,6.114117180574469,0.01928129995940253
chesapeake,7,prior_matched_random,MR,spectral,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__spectral.qpy,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,1,427,212,0.6640795390180081,0.6624474254702714,0.0016321135477367354,0.008431021848616882,-0.0016321135477367354,0.0,0.0067989083008801465,5.165707900843201,0.017717899987474084
