family,root_order,matching,degree_lp,h_relaxation,full_matching,degree_ratio,h_ratio,missing_blossom_additive_gap
odd_complete,5,2.0,2.5,2.5,2.0,1.25,1.25,0.5
odd_cycle,5,2.0,2.5,2.0,2.0,1.25,1.0,0.0
odd_complete,7,3.0,3.5,3.5,3.0,1.1666666666666667,1.1666666666666667,0.5
odd_cycle,7,3.0,3.5,3.0,3.0,1.1666666666666667,1.0,0.0
odd_complete,9,4.0,4.5,4.5,4.0,1.125,1.125,0.5
odd_cycle,9,4.0,4.5,4.0,4.0,1.125,1.0,0.0
odd_complete,11,5.0,5.5,5.5,5.0,1.1,1.1,0.5
odd_cycle,11,5.0,5.5,5.0,5.0,1.1,1.0,0.0
odd_complete,13,6.0,6.5,6.5,6.0,1.0833333333333333,1.0833333333333333,0.5
odd_cycle,13,6.0,6.5,6.0,6.0,1.0833333333333333,1.0,0.0
