family,copies,root_order,root_edges,repairing_constraint,matching,degree_ratio,clique_ratio,odd5_ratio,odd7_ratio,odd9_ratio,degree,triangles,cycles5,cycles7,cycles9
triangles,1,3,3,clique,1.0,1.5,1.0,1.0,1.0,1.0,3,1,0,0,0
triangles,2,6,6,clique,2.0,1.5,1.0,1.0,1.0,1.0,6,2,0,0,0
triangles,4,12,12,clique,4.0,1.5,1.0,1.0,1.0,1.0,12,4,0,0,0
triangles,8,24,24,clique,8.0,1.5,1.0,1.0,1.0,1.0,24,8,0,0,0
triangles,12,36,36,clique,12.0,1.5,1.0,1.0,1.0,1.0,36,12,0,0,0
C5,1,5,5,odd5,2.0,1.25,1.25,1.0,1.0,1.0,5,0,1,0,0
C5,2,10,10,odd5,4.0,1.25,1.25,1.0,1.0,1.0,10,0,2,0,0
C5,4,20,20,odd5,8.0,1.25,1.25,1.0,1.0,1.0,20,0,4,0,0
C5,8,40,40,odd5,16.0,1.25,1.25,1.0,1.0,1.0,40,0,8,0,0
C5,12,60,60,odd5,24.0,1.25,1.25,1.0,1.0,1.0,60,0,12,0,0
C7,1,7,7,odd7,3.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,7,0,0,1,0
C7,2,14,14,odd7,6.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,14,0,0,2,0
C7,4,28,28,odd7,12.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,28,0,0,4,0
C7,8,56,56,odd7,24.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,56,0,0,8,0
C7,12,84,84,odd7,36.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.0,1.0,84,0,0,12,0
C9,1,9,9,odd9,4.0,1.125,1.125,1.125,1.125,1.0,9,0,0,0,1
C9,2,18,18,odd9,8.0,1.125,1.125,1.125,1.125,1.0,18,0,0,0,2
C9,4,36,36,odd9,16.0,1.125,1.125,1.125,1.125,1.0,36,0,0,0,4
C9,8,72,72,odd9,32.0,1.125,1.125,1.125,1.125,1.0,72,0,0,0,8
C9,12,108,108,odd9,48.0,1.125,1.125,1.125,1.125,1.0,108,0,0,0,12
C11,1,11,11,full_cycle_beyond_cutoff,5.0,1.1,1.1,1.1,1.1,1.1,11,0,0,0,0
C11,2,22,22,full_cycle_beyond_cutoff,10.0,1.1,1.1,1.1,1.1,1.1,22,0,0,0,0
C11,4,44,44,full_cycle_beyond_cutoff,20.0,1.1,1.1,1.1,1.1,1.1,44,0,0,0,0
C11,8,88,88,full_cycle_beyond_cutoff,40.0,1.1,1.1,1.1,1.1,1.1,88,0,0,0,0
C11,12,132,132,full_cycle_beyond_cutoff,60.0,1.1,1.1,1.1,1.1,1.1,132,0,0,0,0
K5,1,5,10,full_blossom,2.0,1.25,1.25,1.25,1.25,1.25,5,10,12,0,0
K5,2,10,20,full_blossom,4.0,1.25,1.25,1.25,1.25,1.25,10,20,24,0,0
K5,4,20,40,full_blossom,8.0,1.25,1.25,1.25,1.25,1.25,20,40,48,0,0
K5,8,40,80,full_blossom,16.0,1.25,1.25,1.25,1.25,1.25,40,80,96,0,0
K5,12,60,120,full_blossom,24.0,1.25,1.25,1.25,1.25,1.25,60,120,144,0,0
