blocks,root_order,root_edges,bridge_weight,matching,degree_ratio,clique_ratio,odd9_ratio,degree,triangles,cycles5,cycles7,cycles9
2,10,21,0.0,4.0,1.25,1.25,1.25,10,20,24,0,0
2,10,21,0.01,4.01,1.2468827930174564,1.2468827930174564,1.2468827930174564,10,20,24,0,0
2,10,21,0.05,4.05,1.234567901234568,1.234567901234568,1.234567901234568,10,20,24,0,0
2,10,21,0.1,4.1,1.2195121951219514,1.2195121951219514,1.2195121951219514,10,20,24,0,0
2,10,21,0.25,4.25,1.1764705882352942,1.1764705882352942,1.1764705882352942,10,20,24,0,0
2,10,21,0.5,4.5,1.1111111111111112,1.1111111111111112,1.1111111111111112,10,20,24,0,0
2,10,21,1.0,5.0,1.0,1.0,1.0,10,20,24,0,0
4,20,44,0.0,8.0,1.25,1.25,1.25,20,40,48,0,0
4,20,44,0.01,8.02,1.2468827930174564,1.2468827930174564,1.2468827930174564,20,40,48,0,0
4,20,44,0.05,8.1,1.234567901234568,1.234567901234568,1.234567901234568,20,40,48,0,0
4,20,44,0.1,8.2,1.2195121951219514,1.2195121951219514,1.2195121951219514,20,40,48,0,0
4,20,44,0.25,8.5,1.1764705882352942,1.1764705882352942,1.1764705882352942,20,40,48,0,0
4,20,44,0.5,9.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,20,40,48,0,0
4,20,44,1.0,10.0,1.0,1.0,1.0,20,40,48,0,0
8,40,88,0.0,16.0,1.25,1.25,1.25,40,80,96,0,0
8,40,88,0.01,16.04,1.2468827930174564,1.2468827930174564,1.2468827930174564,40,80,96,0,0
8,40,88,0.05,16.2,1.234567901234568,1.234567901234568,1.234567901234568,40,80,96,0,0
8,40,88,0.1,16.4,1.2195121951219514,1.2195121951219514,1.2195121951219514,40,80,96,0,0
8,40,88,0.25,17.0,1.1764705882352942,1.1764705882352942,1.1764705882352942,40,80,96,0,0
8,40,88,0.5,18.0,1.1111111111111112,1.1111111111111112,1.111111111111111,40,80,96,0,0
8,40,88,1.0,20.0,1.0,1.0,1.0,40,80,96,0,0
16,80,176,0.0,32.0,1.25,1.25,1.25,80,160,192,0,0
16,80,176,0.01,32.08,1.2468827930174564,1.2468827930174564,1.246882793017456,80,160,192,0,0
16,80,176,0.05,32.400000000000006,1.2345679012345676,1.2345679012345676,1.2345679012345667,80,160,192,0,0
16,80,176,0.1,32.800000000000004,1.219512195121951,1.219512195121951,1.2195121951219503,80,160,192,0,0
16,80,176,0.25,34.0,1.1764705882352942,1.1764705882352942,1.1764705882352942,80,160,192,0,0
16,80,176,0.5,36.0,1.1111111111111112,1.1111111111111112,1.1111111111111107,80,160,192,0,0
16,80,176,1.0,40.0,1.0,1.0,1.0000000000000002,80,160,192,0,0
