order,graph6,edges,alpha,stable_sets,rank_facets,nonrank_facets
10,I~?GWMB{G,19,3,48,5,0
10,I~?GKEB{W,19,3,54,5,0
10,Ij[xwA@oW,20,3,45,5,0
10,I~Kww?@_G,17,4,67,6,0
10,I~?GGNbww,21,3,47,5,0
10,I~CWWCB?w,17,3,57,4,0
10,Ij[ww[N?W,22,4,48,6,0
10,I~[GKMF{W,24,3,34,6,0
10,IjKwwE@oG,18,3,54,8,0
10,IwCW{MBow,20,3,49,6,0
10,IjKx{A@_W,19,3,46,4,0
10,I~KGW[?_G,16,3,64,5,0
10,I~~~w[B?G,27,3,33,4,0
10,I~[xwKB?w,23,3,40,5,0
10,I~|xwKB_?,23,3,44,6,0
10,Iz?GGMFpw,19,4,56,6,0
10,Iz[WwMF`w,24,3,34,6,0
10,Iz\wwC@?W,19,3,52,5,0
10,Ij[WGEB_W,17,4,58,8,0
10,Iz?GW[N_W,18,3,52,5,0
11,J~CWW[F@wF_,25,3,54,5,0
11,J~C?GNBo]@_,22,4,81,6,0
11,JjCGW[NB{N_,26,3,54,6,0
11,JzKww{F?G@_,23,3,69,6,0
11,JjKxw{^FwB_,31,3,47,5,0
11,J~\wW[B?wF_,27,3,46,4,0
11,J~\xw[@?[@_,26,3,53,7,0
11,JHKWw{F@{N_,26,4,67,5,0
11,JzCGGKF?w?_,17,4,108,7,0
11,J~{WwKBoN@_,27,3,50,9,0
11,JwCWw{F?}F_,25,3,60,5,0
11,J~{WGMBwN@_,27,3,50,7,0
11,JxKWw{^@}?_,27,3,48,6,0
11,J~Kx{B@o]B_,28,3,42,4,0
11,JhCGWC@o]B_,18,4,101,8,0
11,JzCW[A@_[B_,20,3,76,5,0
11,J~|zx{F_K@_,32,3,37,8,0
11,Jj[ww{^?{?_,27,3,55,8,0
11,J~{GGKF?~o_,26,3,45,6,0
11,J~Kww[F?WB_,25,3,58,6,0
12,K~CGW[Nw~F{^,38,3,44,6,0
12,K~{WGKF?w?w@,25,4,90,8,0
12,K~CGWKF@wNoB,27,4,84,6,0
12,KxKxx{NB{@wF,35,3,53,8,0
12,K~|xw?@?[@wF,29,4,72,7,0
12,K~|xwKF?wBwF,34,3,52,13,0
12,KzKxw{^_}?wB,34,3,51,11,0
12,K~~xwC??M@wF,30,3,73,5,0
12,KwCWw}@_[@{F,27,3,78,4,0
12,KxKww{F?w?w@,26,4,93,10,0
12,K~~zw[@_N@{F,37,3,48,10,0
12,K~|zwK@?[BoN,33,3,50,6,0
12,K~?GW[N?G@{B,24,3,92,5,0
12,KxKGWKFp}Nw~,35,3,56,6,0
12,K~|wWCB_}B}N,36,3,47,14,0
12,K~{WWKF@w?_@,25,3,93,6,0
12,KJ[WGKF_{FoN,28,3,75,6,0
12,KzCWW]Nb{@oF,31,3,70,6,0
12,Kz\ww{^?K?{@,31,3,68,6,0
12,Kj[wwCB?WBo?,22,4,119,7,0
