order,power,alpha,SCF,simplicial_clique_size,cycle_or_alpha_le_2
5,1,2,1,2,1
5,2,1,1,5,1
6,1,3,1,2,1
6,2,2,1,3,1
7,1,3,1,2,1
7,2,2,0,0,1
7,3,1,1,7,1
8,1,4,1,2,1
8,2,2,0,0,1
8,3,2,1,4,1
9,1,4,1,2,1
9,2,3,0,0,0
9,3,2,0,0,1
9,4,1,1,9,1
10,1,5,1,2,1
10,2,3,0,0,0
10,3,2,0,0,1
10,4,2,1,5,1
11,1,5,1,2,1
11,2,3,0,0,0
11,3,2,0,0,1
11,4,2,0,0,1
11,5,1,1,11,1
12,1,6,1,2,1
12,2,4,0,0,0
12,3,3,0,0,0
12,4,2,0,0,1
12,5,2,1,6,1
13,1,6,1,2,1
13,2,4,0,0,0
13,3,3,0,0,0
13,4,2,0,0,1
13,5,2,0,0,1
13,6,1,1,13,1
14,1,7,1,2,1
14,2,4,0,0,0
14,3,3,0,0,0
14,4,2,0,0,1
14,5,2,0,0,1
14,6,2,1,7,1
15,1,7,1,2,1
15,2,5,0,0,0
15,3,3,0,0,0
15,4,3,0,0,0
15,5,2,0,0,1
15,6,2,0,0,1
15,7,1,1,15,1
16,1,8,1,2,1
16,2,5,0,0,0
16,3,4,0,0,0
16,4,3,0,0,0
16,5,2,0,0,1
16,6,2,0,0,1
16,7,2,1,8,1
17,1,8,1,2,1
17,2,5,0,0,0
17,3,4,0,0,0
17,4,3,0,0,0
17,5,2,0,0,1
17,6,2,0,0,1
17,7,2,0,0,1
17,8,1,1,17,1
18,1,9,1,2,1
18,2,6,0,0,0
18,3,4,0,0,0
18,4,3,0,0,0
18,5,3,0,0,0
18,6,2,0,0,1
18,7,2,0,0,1
18,8,2,1,9,1
19,1,9,1,2,1
19,2,6,0,0,0
19,3,4,0,0,0
19,4,3,0,0,0
19,5,3,0,0,0
19,6,2,0,0,1
19,7,2,0,0,1
19,8,2,0,0,1
19,9,1,1,19,1
20,1,10,1,2,1
20,2,6,0,0,0
20,3,5,0,0,0
20,4,4,0,0,0
20,5,3,0,0,0
20,6,2,0,0,1
20,7,2,0,0,1
20,8,2,0,0,1
20,9,2,1,10,1
21,1,10,1,2,1
21,2,7,0,0,0
21,3,5,0,0,0
21,4,4,0,0,0
21,5,3,0,0,0
21,6,3,0,0,0
21,7,2,0,0,1
21,8,2,0,0,1
21,9,2,0,0,1
21,10,1,1,21,1
22,1,11,1,2,1
22,2,7,0,0,0
22,3,5,0,0,0
22,4,4,0,0,0
22,5,3,0,0,0
22,6,3,0,0,0
22,7,2,0,0,1
22,8,2,0,0,1
22,9,2,0,0,1
22,10,2,1,11,1
23,1,11,1,2,1
23,2,7,0,0,0
23,3,5,0,0,0
23,4,4,0,0,0
23,5,3,0,0,0
23,6,3,0,0,0
23,7,2,0,0,1
23,8,2,0,0,1
23,9,2,0,0,1
23,10,2,0,0,1
23,11,1,1,23,1
24,1,12,1,2,1
24,2,8,0,0,0
24,3,6,0,0,0
24,4,4,0,0,0
24,5,4,0,0,0
24,6,3,0,0,0
24,7,3,0,0,0
24,8,2,0,0,1
24,9,2,0,0,1
24,10,2,0,0,1
24,11,2,1,12,1
25,1,12,1,2,1
25,2,8,0,0,0
25,3,6,0,0,0
25,4,5,0,0,0
25,5,4,0,0,0
25,6,3,0,0,0
25,7,3,0,0,0
25,8,2,0,0,1
25,9,2,0,0,1
25,10,2,0,0,1
25,11,2,0,0,1
25,12,1,1,25,1
26,1,13,1,2,1
26,2,8,0,0,0
26,3,6,0,0,0
26,4,5,0,0,0
26,5,4,0,0,0
26,6,3,0,0,0
26,7,3,0,0,0
26,8,2,0,0,1
26,9,2,0,0,1
26,10,2,0,0,1
26,11,2,0,0,1
26,12,2,1,13,1
27,1,13,1,2,1
27,2,9,0,0,0
27,3,6,0,0,0
27,4,5,0,0,0
27,5,4,0,0,0
27,6,3,0,0,0
27,7,3,0,0,0
27,8,3,0,0,0
27,9,2,0,0,1
27,10,2,0,0,1
27,11,2,0,0,1
27,12,2,0,0,1
27,13,1,1,27,1
28,1,14,1,2,1
28,2,9,0,0,0
28,3,7,0,0,0
28,4,5,0,0,0
28,5,4,0,0,0
28,6,4,0,0,0
28,7,3,0,0,0
28,8,3,0,0,0
28,9,2,0,0,1
28,10,2,0,0,1
28,11,2,0,0,1
28,12,2,0,0,1
28,13,2,1,14,1
29,1,14,1,2,1
29,2,9,0,0,0
29,3,7,0,0,0
29,4,5,0,0,0
29,5,4,0,0,0
29,6,4,0,0,0
29,7,3,0,0,0
29,8,3,0,0,0
29,9,2,0,0,1
29,10,2,0,0,1
29,11,2,0,0,1
29,12,2,0,0,1
29,13,2,0,0,1
29,14,1,1,29,1
30,1,15,1,2,1
30,2,10,0,0,0
30,3,7,0,0,0
30,4,6,0,0,0
30,5,5,0,0,0
30,6,4,0,0,0
30,7,3,0,0,0
30,8,3,0,0,0
30,9,3,0,0,0
30,10,2,0,0,1
30,11,2,0,0,1
30,12,2,0,0,1
30,13,2,0,0,1
30,14,2,1,15,1
31,1,15,1,2,1
31,2,10,0,0,0
31,3,7,0,0,0
31,4,6,0,0,0
31,5,5,0,0,0
31,6,4,0,0,0
31,7,3,0,0,0
31,8,3,0,0,0
31,9,3,0,0,0
31,10,2,0,0,1
31,11,2,0,0,1
31,12,2,0,0,1
31,13,2,0,0,1
31,14,2,0,0,1
31,15,1,1,31,1
32,1,16,1,2,1
32,2,10,0,0,0
32,3,8,0,0,0
32,4,6,0,0,0
32,5,5,0,0,0
32,6,4,0,0,0
32,7,4,0,0,0
32,8,3,0,0,0
32,9,3,0,0,0
32,10,2,0,0,1
32,11,2,0,0,1
32,12,2,0,0,1
32,13,2,0,0,1
32,14,2,0,0,1
32,15,2,1,16,1
33,1,16,1,2,1
33,2,11,0,0,0
33,3,8,0,0,0
33,4,6,0,0,0
33,5,5,0,0,0
33,6,4,0,0,0
33,7,4,0,0,0
33,8,3,0,0,0
33,9,3,0,0,0
33,10,3,0,0,0
33,11,2,0,0,1
33,12,2,0,0,1
33,13,2,0,0,1
33,14,2,0,0,1
33,15,2,0,0,1
33,16,1,1,33,1
34,1,17,1,2,1
34,2,11,0,0,0
34,3,8,0,0,0
34,4,6,0,0,0
34,5,5,0,0,0
34,6,4,0,0,0
34,7,4,0,0,0
34,8,3,0,0,0
34,9,3,0,0,0
34,10,3,0,0,0
34,11,2,0,0,1
34,12,2,0,0,1
34,13,2,0,0,1
34,14,2,0,0,1
34,15,2,0,0,1
34,16,2,1,17,1
35,1,17,1,2,1
35,2,11,0,0,0
35,3,8,0,0,0
35,4,7,0,0,0
35,5,5,0,0,0
35,6,5,0,0,0
35,7,4,0,0,0
35,8,3,0,0,0
35,9,3,0,0,0
35,10,3,0,0,0
35,11,2,0,0,1
35,12,2,0,0,1
35,13,2,0,0,1
35,14,2,0,0,1
35,15,2,0,0,1
35,16,2,0,0,1
35,17,1,1,35,1
36,1,18,1,2,1
36,2,12,0,0,0
36,3,9,0,0,0
36,4,7,0,0,0
36,5,6,0,0,0
36,6,5,0,0,0
36,7,4,0,0,0
36,8,4,0,0,0
36,9,3,0,0,0
36,10,3,0,0,0
36,11,3,0,0,0
36,12,2,0,0,1
36,13,2,0,0,1
36,14,2,0,0,1
36,15,2,0,0,1
36,16,2,0,0,1
36,17,2,1,18,1
37,1,18,1,2,1
37,2,12,0,0,0
37,3,9,0,0,0
37,4,7,0,0,0
37,5,6,0,0,0
37,6,5,0,0,0
37,7,4,0,0,0
37,8,4,0,0,0
37,9,3,0,0,0
37,10,3,0,0,0
37,11,3,0,0,0
37,12,2,0,0,1
37,13,2,0,0,1
37,14,2,0,0,1
37,15,2,0,0,1
37,16,2,0,0,1
37,17,2,0,0,1
37,18,1,1,37,1
38,1,19,1,2,1
38,2,12,0,0,0
38,3,9,0,0,0
38,4,7,0,0,0
38,5,6,0,0,0
38,6,5,0,0,0
38,7,4,0,0,0
38,8,4,0,0,0
38,9,3,0,0,0
38,10,3,0,0,0
38,11,3,0,0,0
38,12,2,0,0,1
38,13,2,0,0,1
38,14,2,0,0,1
38,15,2,0,0,1
38,16,2,0,0,1
38,17,2,0,0,1
38,18,2,1,19,1
39,1,19,1,2,1
39,2,13,0,0,0
39,3,9,0,0,0
39,4,7,0,0,0
39,5,6,0,0,0
39,6,5,0,0,0
39,7,4,0,0,0
39,8,4,0,0,0
39,9,3,0,0,0
39,10,3,0,0,0
39,11,3,0,0,0
39,12,3,0,0,0
39,13,2,0,0,1
39,14,2,0,0,1
39,15,2,0,0,1
39,16,2,0,0,1
39,17,2,0,0,1
39,18,2,0,0,1
39,19,1,1,39,1
40,1,20,1,2,1
40,2,13,0,0,0
40,3,10,0,0,0
40,4,8,0,0,0
40,5,6,0,0,0
40,6,5,0,0,0
40,7,5,0,0,0
40,8,4,0,0,0
40,9,4,0,0,0
40,10,3,0,0,0
40,11,3,0,0,0
40,12,3,0,0,0
40,13,2,0,0,1
40,14,2,0,0,1
40,15,2,0,0,1
40,16,2,0,0,1
40,17,2,0,0,1
40,18,2,0,0,1
40,19,2,1,20,1
41,1,20,1,2,1
41,2,13,0,0,0
41,3,10,0,0,0
41,4,8,0,0,0
41,5,6,0,0,0
41,6,5,0,0,0
41,7,5,0,0,0
41,8,4,0,0,0
41,9,4,0,0,0
41,10,3,0,0,0
41,11,3,0,0,0
41,12,3,0,0,0
41,13,2,0,0,1
41,14,2,0,0,1
41,15,2,0,0,1
41,16,2,0,0,1
41,17,2,0,0,1
41,18,2,0,0,1
41,19,2,0,0,1
41,20,1,1,41,1
42,1,21,1,2,1
42,2,14,0,0,0
42,3,10,0,0,0
42,4,8,0,0,0
42,5,7,0,0,0
42,6,6,0,0,0
42,7,5,0,0,0
42,8,4,0,0,0
42,9,4,0,0,0
42,10,3,0,0,0
42,11,3,0,0,0
42,12,3,0,0,0
42,13,3,0,0,0
42,14,2,0,0,1
42,15,2,0,0,1
42,16,2,0,0,1
42,17,2,0,0,1
42,18,2,0,0,1
42,19,2,0,0,1
42,20,2,1,21,1
43,1,21,1,2,1
43,2,14,0,0,0
43,3,10,0,0,0
43,4,8,0,0,0
