candidate_rank,source,graph6,n,leaf,neighbour,total_time,steps,omega_scale,original_success,reduced_success,absolute_success_difference
0,atlas,F^NI?,7,6,1,5.0,240,1.0,0.7770825636022279,0.8134428369421427,0.03636027333991476
0,atlas,F^NI?,7,6,1,5.0,240,1.1832159566199232,0.7770825636022279,0.8222605578667218,0.04517799426449387
0,atlas,F^NI?,7,6,1,5.0,240,1.4,0.7770825636022279,0.7477798006979524,0.02930276290427558
0,atlas,F^NI?,7,6,1,10.0,240,1.0,0.714050300648858,0.7864675827860251,0.07241728213716714
0,atlas,F^NI?,7,6,1,10.0,240,1.1832159566199232,0.714050300648858,0.6879882807819717,0.026062019866886277
0,atlas,F^NI?,7,6,1,10.0,240,1.4,0.714050300648858,0.7146823680055461,0.0006320673566880819
0,atlas,F^NI?,7,6,1,20.0,240,1.0,0.9180171403679827,0.9417958032542175,0.02377866288623487
0,atlas,F^NI?,7,6,1,20.0,240,1.1832159566199232,0.9180171403679827,0.9463116400468632,0.028294499678880536
0,atlas,F^NI?,7,6,1,20.0,240,1.4,0.9180171403679827,0.9200348391767159,0.0020176988087332592
0,atlas,F^NI?,7,6,1,40.0,240,1.0,0.986964544788475,0.9886451735219383,0.0016806287334633074
0,atlas,F^NI?,7,6,1,40.0,240,1.1832159566199232,0.986964544788475,0.9903106045078971,0.0033460597194221453
0,atlas,F^NI?,7,6,1,40.0,240,1.4,0.986964544788475,0.9746594800071271,0.012305064781347852
1,atlas,FlMi?,7,6,1,5.0,240,1.0,0.7365037573207206,0.8134428369421429,0.07693907962142232
1,atlas,FlMi?,7,6,1,5.0,240,1.1832159566199232,0.7365037573207206,0.8222605578667215,0.08575680054600088
1,atlas,FlMi?,7,6,1,5.0,240,1.4,0.7365037573207206,0.7477798006979524,0.01127604337723176
1,atlas,FlMi?,7,6,1,10.0,240,1.0,0.7047537980612165,0.7864675827860266,0.08171378472481006
1,atlas,FlMi?,7,6,1,10.0,240,1.1832159566199232,0.7047537980612165,0.6879882807819713,0.016765517279245246
1,atlas,FlMi?,7,6,1,10.0,240,1.4,0.7047537980612165,0.7146823680055465,0.009928569944330001
1,atlas,FlMi?,7,6,1,20.0,240,1.0,0.9101177890424628,0.941795803254218,0.0316780142117552
1,atlas,FlMi?,7,6,1,20.0,240,1.1832159566199232,0.9101177890424628,0.9463116400468619,0.03619385100439909
1,atlas,FlMi?,7,6,1,20.0,240,1.4,0.9101177890424628,0.9200348391767145,0.009917050134251704
1,atlas,FlMi?,7,6,1,40.0,240,1.0,0.9823654002316273,0.9886451735219397,0.006279773290312374
1,atlas,FlMi?,7,6,1,40.0,240,1.1832159566199232,0.9823654002316273,0.9903106045078973,0.00794520427626999
1,atlas,FlMi?,7,6,1,40.0,240,1.4,0.9823654002316273,0.9746594800071258,0.007705920224501561
2,atlas,F^MI?,7,6,1,5.0,240,1.0,0.7321282458101682,0.8134428369421427,0.08131459113197448
2,atlas,F^MI?,7,6,1,5.0,240,1.1832159566199232,0.7321282458101682,0.8222605578667218,0.09013231205655359
2,atlas,F^MI?,7,6,1,5.0,240,1.4,0.7321282458101682,0.7477798006979524,0.015651554887784136
