source,graph_index,graph6,n,m,leaf,neighbour,neighbour_degree,sibling_leaf_count,reduced_graph6,reduced_n,reduced_m,alpha,reduced_alpha_plus_offset,optimum_count,lifted_optimum_count,lifted_optimum_coverage,endpoint_projector_obstruction,initial_projector_distance,original_minimum_gap,original_minimum_gap_s,reduced_minimum_gap,reduced_minimum_gap_s,native_gap_distortion,scale_controls
atlas,0,Bo,3,2,1,0,2,2,@,1,0,2,2,1,1,1.0,False,1.0,0.7150264191663728,0.54,1.0,0.5,1.3985497223527337,"[{""gap_distortion"": 1.3985497223527337, ""minimum_gap"": 1.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 2.4223591760262813, ""minimum_gap"": 1.7320508075688772, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.7320508075688772}, {""gap_distortion"": 2.9202575538628577, ""minimum_gap"": 2.08806130178211, ""minimum_gap_s"": 0.02, ""omega_scale"": 3.0}]"
atlas,0,Bo,3,2,2,0,2,2,@,1,0,2,2,1,1,1.0,False,1.0,0.7150264191663728,0.54,1.0,0.5,1.3985497223527337,"[{""gap_distortion"": 1.3985497223527337, ""minimum_gap"": 1.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 2.4223591760262813, ""minimum_gap"": 1.7320508075688772, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.7320508075688772}, {""gap_distortion"": 2.9202575538628577, ""minimum_gap"": 2.08806130178211, ""minimum_gap_s"": 0.02, ""omega_scale"": 3.0}]"
atlas,1,CF,4,3,0,3,3,3,A?,2,0,3,3,1,1,1.0,False,1.0,0.8638475452747836,0.48000000000000004,1.0,0.5,1.1576116705661383,"[{""gap_distortion"": 1.1576116705661383, ""minimum_gap"": 1.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 1.637110124476008, ""minimum_gap"": 1.414213562373095, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 2.3152233411322767, ""minimum_gap"": 2.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 2.0}]"
atlas,1,CF,4,3,1,3,3,3,A?,2,0,3,3,1,1,1.0,False,1.0,0.8638475452747836,0.48000000000000004,1.0,0.5,1.1576116705661383,"[{""gap_distortion"": 1.1576116705661383, ""minimum_gap"": 1.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 1.637110124476008, ""minimum_gap"": 1.414213562373095, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 2.3152233411322767, ""minimum_gap"": 2.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 2.0}]"
atlas,1,CF,4,3,2,3,3,3,A?,2,0,3,3,1,1,1.0,False,1.0,0.8638475452747836,0.48000000000000004,1.0,0.5,1.1576116705661383,"[{""gap_distortion"": 1.1576116705661383, ""minimum_gap"": 1.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 1.637110124476008, ""minimum_gap"": 1.414213562373095, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 2.3152233411322767, ""minimum_gap"": 2.0, ""minimum_gap_s"": 0.5, ""omega_scale"": 2.0}]"
atlas,2,Ck,4,3,2,1,2,1,A_,2,1,2,2,3,2,0.6666666666666666,True,1.0,0.00704839619035269,0.98,0.00995049383620783,0.98,1.4117387228923526,"[{""gap_distortion"": 1.4117387228923526, ""minimum_gap"": 0.00995049383620783, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 2.8097033968753533, ""minimum_gap"": 0.019803902718557254, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 5.565873921080402, ""minimum_gap"": 0.039230484541326494, ""minimum_gap_s"": 0.98, ""omega_scale"": 2.0}]"
atlas,2,Ck,4,3,3,0,2,1,A_,2,1,2,2,3,2,0.6666666666666666,True,1.0,0.00704839619035269,0.98,0.00995049383620783,0.98,1.4117387228923526,"[{""gap_distortion"": 1.4117387228923526, ""minimum_gap"": 0.00995049383620783, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 2.8097033968753533, ""minimum_gap"": 0.019803902718557254, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 5.565873921080402, ""minimum_gap"": 0.039230484541326494, ""minimum_gap_s"": 0.98, ""omega_scale"": 2.0}]"
atlas,3,CN,4,4,0,3,3,1,A_,2,1,2,2,2,2,1.0,False,1.0,0.009950554578278314,0.98,0.00995049383620783,0.98,1.0000061044277284,"[{""gap_distortion"": 1.0000061044277284, ""minimum_gap"": 0.00995049383620783, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.9902310532307843, ""minimum_gap"": 0.019803902718557254, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4142135623730951}, {""gap_distortion"": 3.9425425218977406, ""minimum_gap"": 0.039230484541326494, ""minimum_gap_s"": 0.98, ""omega_scale"": 2.0}]"
atlas,4,D?{,5,4,0,4,4,4,B?,3,0,4,4,1,1,1.0,False,1.0,0.9347560842189921,0.48000000000000004,0.9999999999999996,0.5,1.0697977973960127,"[{""gap_distortion"": 1.0697977973960127, ""minimum_gap"": 0.9999999999999996, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 1.381103017708045, ""minimum_gap"": 1.2909944487358056, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.2909944487358056}, {""gap_distortion"": 1.7829963289933557, ""minimum_gap"": 1.666666666666667, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.6666666666666667}]"
atlas,4,D?{,5,4,1,4,4,4,B?,3,0,4,4,1,1,1.0,False,1.0,0.9347560842189921,0.48000000000000004,0.9999999999999996,0.5,1.0697977973960127,"[{""gap_distortion"": 1.0697977973960127, ""minimum_gap"": 0.9999999999999996, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.0}, {""gap_distortion"": 1.381103017708045, ""minimum_gap"": 1.2909944487358056, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.2909944487358056}, {""gap_distortion"": 1.7829963289933557, ""minimum_gap"": 1.666666666666667, ""minimum_gap_s"": 0.5, ""omega_scale"": 1.6666666666666667}]"
