reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference,confirm_steps,confirmed_original_success,confirmed_reduced_success,confirmed_absolute_difference
7,atlas,CN,A_,4,0,3,1.0,10.0,120,0.5565140787866725,0.9503578251266923,0.39384374634001984,480,0.5554190009375939,0.9500744060333931,0.3946554050957992
651,unit_disk,GUc`HK,EqTW,8,1,3,1.0,10.0,120,0.5247487838727448,0.9111265344784896,0.38637775060574475,480,0.523626796992097,0.9107240803664214,0.38709728337432436
105,atlas,El{G,Cl,6,5,4,1.0,10.0,120,0.5798421777439502,0.9659932005120554,0.3861510227681052,480,0.5790721143555404,0.9660130808819892,0.3869409665264488
99,atlas,Ev`_,C],6,4,0,1.0,10.0,120,0.6045594886458023,0.9659932005120554,0.36143371186625306,480,0.6038557990118423,0.9660130808819892,0.36215728187014695
56,atlas,EG}?,CK,6,3,4,1.0,10.0,120,0.5638297681888079,0.9031799957795289,0.339350227590721,480,0.5626777099447586,0.9026413769997262,0.3399636670549676
452,atlas,Fl{GO,Dl?,7,5,4,1.0,10.0,120,0.4757621910875969,0.8125982347516137,0.33683604366401687,480,0.4748655322783472,0.8123472709803693,0.3374817387020221
453,atlas,Fl{GO,Dl?,7,6,4,1.0,10.0,120,0.4757621910875969,0.8125982347516137,0.33683604366401687,480,0.4748655322783472,0.8123472709803693,0.3374817387020221
82,atlas,Eht?,CL,6,5,1,1.0,10.0,120,0.5285670632092199,0.8585371953604194,0.3299701321511995,480,0.5274746170885767,0.8579615416438034,0.33048692455522677
629,atlas,F~~x?,D~{,7,6,2,1.0,10.0,120,0.5713742684179918,0.9007462754746662,0.32937200705667447,480,0.570127096123177,0.9003087130482733,0.3301816169250963
70,atlas,Ehd?,CL,6,5,1,1.0,10.0,120,0.539021227879215,0.8585371953604194,0.31951596748120437,480,0.5380127744931525,0.8579615416438034,0.3199487671506509
674,unit_disk,HLnzLy?,Fj~Jo,9,8,0,1.0,10.0,120,0.6022326903230784,0.9206002000311397,0.3183675097080614,480,0.6013591997937714,0.9204184830120774,0.319059283218306
60,atlas,EYWO,Cq,6,0,2,1.0,10.0,120,0.5453291188354698,0.8585371953604192,0.3132080765249494,480,0.5443153223271211,0.8579615416438024,0.31364621931668135
