source,graph6,n,leaf,coverage,original_gap_s_le_0p9,original_argmin_s,reduced_gap_s_le_0p9,reduced_argmin_s,cutoff_gap_distortion,preregistered_gap_distortion
atlas,Bo,3,1,1.0,0.7150264191663728,0.54,1.0,0.5,1.3985497223527337,1.3985497223527337
atlas,Bo,3,2,1.0,0.7150264191663728,0.54,1.0,0.5,1.3985497223527337,1.3985497223527337
atlas,CF,4,0,1.0,0.8638475452747836,0.48,1.0,0.5,1.1576116705661383,1.1576116705661383
atlas,CF,4,1,1.0,0.8638475452747836,0.48,1.0,0.5,1.1576116705661383,1.1576116705661383
atlas,CF,4,2,1.0,0.8638475452747836,0.48,1.0,0.5,1.1576116705661383,1.1576116705661383
atlas,Ck,4,2,0.6666666666666666,0.16470085443664395,0.9,0.22474487139158894,0.9,1.3645640889983501,1.4117387228923526
atlas,Ck,4,3,0.6666666666666666,0.16470085443664395,0.9,0.22474487139158894,0.9,1.3645640889983501,1.4117387228923526
atlas,CN,4,0,1.0,0.22527527594667518,0.9,0.22474487139158894,0.9,1.0023600296273818,1.0000061044277284
atlas,D?{,5,0,1.0,0.9347560842189921,0.48,0.9999999999999996,0.5,1.0697977973960127,1.0697977973960127
atlas,D?{,5,1,1.0,0.9347560842189921,0.48,0.9999999999999996,0.5,1.0697977973960127,1.0697977973960127
atlas,D?{,5,2,1.0,0.9347560842189921,0.48,0.9999999999999996,0.5,1.0697977973960127,1.0697977973960127
atlas,D?{,5,3,1.0,0.9347560842189921,0.48,0.9999999999999996,0.5,1.0697977973960127,1.0697977973960127
atlas,DBc,5,0,0.5,0.22474384989781981,0.9,0.7150264191663728,0.54,3.1815171782963616,71.85838521716558
atlas,DBc,5,1,1.0,0.22474384989781981,0.9,0.22474487139158938,0.9,1.0000045451467083,1.000000000023743
atlas,DBc,5,2,1.0,0.22474384989781981,0.9,0.22474487139158938,0.9,1.0000045451467083,1.000000000023743
atlas,Dh_,5,3,1.0,0.5602245440237708,0.56,0.7150264191663728,0.54,1.2763211230103364,1.2763211230103364
atlas,Dh_,5,4,1.0,0.5602245440237708,0.56,0.7150264191663728,0.54,1.2763211230103364,1.2763211230103364
atlas,D@{,5,0,1.0,0.22475932948311428,0.9,0.2247448713915885,0.9,1.0000643311299442,1.0000000075856492
atlas,D@{,5,1,1.0,0.22475932948311428,0.9,0.2247448713915885,0.9,1.0000643311299442,1.0000000075856492
atlas,Dx_,5,3,1.0,0.7031841094451778,0.56,0.7150264191663728,0.54,1.016840980281165,1.016840980281165
atlas,Dx_,5,4,1.0,0.7031841094451778,0.56,0.7150264191663728,0.54,1.016840980281165,1.016840980281165
atlas,DJc,5,0,0.6,0.20367952203684325,0.9,0.32287565553229536,0.9,1.5852141261107777,1.6690443739127134
atlas,DbW,5,0,1.0,0.5638397561332846,0.54,0.7150264191663728,0.54,1.2681376426343187,1.2681376426343187
atlas,DjW,5,0,1.0,0.6999671351879921,0.54,0.7150264191663728,0.54,1.0215142729155935,1.0215142729155935
atlas,Db[,5,0,0.75,0.2056498638557569,0.9,0.32287565553229536,0.9,1.5700261088369152,1.6119885557374274
atlas,DJ{,5,0,1.0,0.3235518321983095,0.9,0.32287565553229536,0.9,1.0020942324217643,1.0000060598508649
atlas,E?Bw,6,0,1.0,0.9706010473906139,0.48,0.9999999999999998,0.5,1.0302894301303533,1.0302894301303533
atlas,E?Bw,6,1,1.0,0.9706010473906139,0.48,0.9999999999999998,0.5,1.0302894301303533,1.0302894301303533
atlas,E?Bw,6,2,1.0,0.9706010473906139,0.48,0.9999999999999998,0.5,1.0302894301303533,1.0302894301303533
atlas,E?Bw,6,3,1.0,0.9706010473906139,0.48,0.9999999999999998,0.5,1.0302894301303533,1.0302894301303533
atlas,E?Bw,6,4,1.0,0.9706010473906139,0.48,0.9999999999999998,0.5,1.0302894301303533,1.0302894301303533
atlas,EhP?,6,0,1.0,0.22474505458423444,0.9,0.22474487139159027,0.9,1.0000008151137911,1.0000000000040168
atlas,EhP?,6,3,0.5,0.22474505458423444,0.9,0.8638475452747836,0.48,3.843677658993887,86.81454001084397
atlas,EhP?,6,4,1.0,0.22474505458423444,0.9,0.22474487139159205,0.9,1.0000008151137834,1.0000000000046414
atlas,EhP?,6,5,1.0,0.22474505458423444,0.9,0.22474487139159205,0.9,1.0000008151137834,1.0000000000046414
atlas,EsCO,6,1,1.0,0.7110021925932581,0.54,0.7150264191663727,0.54,1.005659935531896,1.005659935531896
atlas,EsCO,6,2,1.0,0.7110021925932581,0.54,0.7150264191663727,0.54,1.005659935531896,1.005659935531896
atlas,EsCO,6,4,1.0,0.7110021925932581,0.54,0.7150264191663727,0.54,1.005659935531896,1.005659935531896
atlas,EsCO,6,5,1.0,0.7110021925932581,0.54,0.7150264191663727,0.54,1.005659935531896,1.005659935531896
atlas,EiGO,6,0,0.8,0.16863382412295724,0.9,0.2247448713915885,0.9,1.3327389837742076,1.3560854970567942
atlas,EiGO,6,4,0.6,0.16863382412295724,0.9,0.16470085443664928,0.9,1.023879473483975,1.0410396143579348
atlas,EiGO,6,5,0.6,0.16863382412295724,0.9,0.16470085443664928,0.9,1.023879473483975,1.0410396143579348
atlas,EBe?,6,1,1.0,0.690394818607224,0.54,0.7150264191663724,0.54,1.0356775570952854,1.0356775570952854
atlas,EBe?,6,2,1.0,0.690394818607224,0.54,0.7150264191663724,0.54,1.0356775570952854,1.0356775570952854
atlas,EBe?,6,5,1.0,0.690394818607224,0.54,0.8638475452747836,0.48,1.2512370052508164,1.2512370052508164
atlas,E`EG,6,1,0.75,0.12056496888596513,0.9,0.16470085443664928,0.9,1.3660755355266547,1.4119834635263415
atlas,E`EG,6,2,0.75,0.12056496888596513,0.9,0.16470085443664928,0.9,1.3660755355266547,1.4119834635263415
atlas,E?Fw,6,0,1.0,0.22474538655539789,0.9,0.2247448713915876,0.9,1.0000022922160896,1.0000000000117824
atlas,E?Fw,6,1,1.0,0.22474538655539789,0.9,0.2247448713915876,0.9,1.0000022922160896,1.0000000000117824
atlas,E?Fw,6,2,1.0,0.22474538655539789,0.9,0.2247448713915876,0.9,1.0000022922160896,1.0000000000117824
atlas,EC{O,6,1,1.0,0.719008405735996,0.54,0.7150264191663729,0.54,1.0055690062113587,1.0055690062113587
atlas,EC{O,6,2,1.0,0.719008405735996,0.54,0.7150264191663729,0.54,1.0055690062113587,1.0055690062113587
atlas,EC{O,6,5,1.0,0.719008405735996,0.54,0.8638475452747836,0.48,1.2014429016174386,1.2014429016174386
atlas,E@dW,6,0,0.75,0.20030066970279314,0.9,0.1647008544366475,0.9,1.2161483338256704,1.2243505572799074
atlas,E@dW,6,1,0.75,0.20030066970279314,0.9,0.1647008544366475,0.9,1.2161483338256704,1.2243505572799074
