family,n,full_gap_distortion,full_original_argmin_s,full_reduced_argmin_s,cutoff_gap_distortion,cutoff_original_argmin_s,cutoff_reduced_argmin_s,T5_original_success,T5_reduced_success,T5_absolute_difference
path,3,1.3985497223527337,0.54,0.5,1.3985497223527337,0.54,0.5,0.7576319955122182,0.9785092921271131,0.22087729661489497
path,4,1.4117387228927083,0.98,0.98,1.3645640889983062,0.9,0.9,0.9693223481257378,0.9997886773778676,0.030466329252129776
path,5,1.2763211230103364,0.56,0.54,1.2763211230103364,0.56,0.54,0.5081816154071086,0.7576319955122182,0.24945038010510956
path,6,1.4119834635260904,0.98,0.98,1.3660755355266145,0.9,0.9,0.8660988206108295,0.9693223481257378,0.10322352751490826
path,7,1.215396896257846,0.5800000000000001,0.56,1.2153968962578436,0.58,0.56,0.3364904270997896,0.5081816154071086,0.171691188307319
path,8,1.3643921293085135,0.98,0.98,1.328621026451625,0.9,0.9,0.7194067075525455,0.8660988206108295,0.146692113058284
path,9,1.1889986408888924,0.5800000000000001,0.5800000000000001,1.1889986408888946,0.58,0.58,0.22456711157923553,0.3364904270997896,0.11192331552055407
path,10,1.3179358724881816,0.98,0.98,1.290972332620185,0.9,0.9,0.5729747939215063,0.7194067075525455,0.14643191363103925
path,11,1.148542044699895,0.5800000000000001,0.5800000000000001,1.148542044699895,0.58,0.58,0.15013884285472498,0.22456711157923553,0.07442826872451055
path,12,1.2791859072944989,0.98,0.98,1.2587228235155323,0.9,0.9,0.444623275154323,0.5729747939215063,0.12835151876718331
star,3,1.3985497223527337,0.54,0.5,1.3985497223527337,0.54,0.5,0.7576319955122188,0.9785092921271131,0.2208772966148943
star,4,1.1576116705661388,0.48000000000000004,0.5,1.1576116705661388,0.48,0.5,0.7943255107048846,0.9574804347790623,0.16315492407417775
star,5,1.0697977973960122,0.48000000000000004,0.5,1.0697977973960122,0.48,0.5,0.7847456528634895,0.9369035024612025,0.15215784959771295
star,6,1.0302894301303533,0.48000000000000004,0.5,1.0302894301303533,0.48,0.5,0.7724232671497574,0.9167687829847009,0.14434551583494348
star,7,1.0124254974186,0.48000000000000004,0.5,1.0124254974186,0.48,0.5,0.7613338583308529,0.8970667728825782,0.13573291455172531
star,8,1.005158988729597,0.5,0.5,1.005158988729597,0.5,0.5,0.7504803110789114,0.8777881729240665,0.12730786184515508
star,9,1.002445901170414,0.5,0.5,1.002445901170414,0.5,0.5,0.7393618442594307,0.8589238837254722,0.11956203946604149
star,10,1.0011777470577745,0.5,0.5,1.0011777470577745,0.5,0.5,0.7279182456975832,0.8404650014552681,0.11254675575768491
star,11,1.0005728318996419,0.5,0.5,1.0005728318996419,0.5,0.5,0.7162135329420297,0.8224028136315893,0.10618928068955957
star,12,1.0002804937260839,0.5,0.5,1.0002804937260839,0.5,0.5,0.704325025321972,0.8047287950099856,0.10040376968801357
