candidate_rank,source,graph6,n,leaf,leaf_gap_distortion,deletion_count,deletion_median,deletion_p90,deletion_max,leaf_percentile_among_deletions
0,atlas,F^NI?,7,6,100.63330251831522,21,201.7449912088756,12078.793320638171,15732.101942362415,0.23809523809523808
1,atlas,FlMi?,7,6,100.57106766505416,21,201.62022412344209,12071.323408481177,14182.967498768081,0.14285714285714285
2,atlas,F^MI?,7,6,100.50892677239403,21,201.49687695204483,11417.650048395266,15712.658161178415,0.14285714285714285
3,atlas,Fr@sO,7,4,100.50875554754596,21,201.49530367273078,11417.630597529916,12797.757436099027,0.14285714285714285
4,atlas,EYOw,6,0,100.50127295001508,15,100.50127295001508,174.05880431743265,174.05880431743267,0.5333333333333333
5,atlas,EBy?,6,5,100.5009719883064,15,100.5009719883064,144.07289452141333,174.0593255533918,0.5333333333333333
6,unit_disk,HzxFFSC,9,8,61.80971377985787,36,1.0000000000627496,65.75131766311873,69.86561498482833,0.7777777777777778
7,unit_disk,GWB_k[,8,3,56.61529703617448,28,1.38390326713656,69.67156856932209,81.83403167915775,0.8214285714285714
8,unit_disk,IATK`DWQG,10,2,53.88385106652773,45,1.411727072963846,66.84624160024637,74.9957075911923,0.7777777777777778
9,unit_disk,G`k|x{,8,1,2.388782488959217,28,1.281755968190748,1.9954381626645,2.388782488959217,1.0
10,unit_disk,JJ\|?H~?O?_,11,0,2.05109613793297,55,1.0747231423288541,1.542074536046338,2.05109613793297,1.0
11,unit_disk,K`ouUs?NpgaC,12,8,2.038980388746268,66,1.0468822869580305,1.662869047811932,2.038980388746268,1.0
