case,qubits,setting,bond,cutoff,ordering,exact_delta,mps_delta,exact_sign,mps_sign,epsilon_lr_truncation,epsilon_mr_truncation,epsilon_lr,epsilon_mr,epsilon_pair,lr_interval,mr_interval,certified,certified_sign,correct_sign,certified_correct,normalized_certificate_ratio,exact_tvd_pair,existing_tvd_certified,existing_tvd_certified_correct
karate,3,released,64,0.001,sorted,0.08641200710746022,0.08641200710746022,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603759, 0.9088222515603758]","[0.9952340586678361, 0.995234258667836]",True,1,True,True,2.31449316703504e-06,3.1758788849624298e-15,True,True
karate,3,released,64,0.001,spectral,0.08641200710745955,0.086412007107461,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",True,1,True,True,2.3144931670350192e-06,6.599775793144497e-15,True,True
karate,3,confirm,128,0.0001,sorted,0.08641200710746022,0.08641200710746022,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603759, 0.9088222515603758]","[0.9952340586678361, 0.995234258667836]",True,1,True,True,2.31449316703504e-06,3.1758788849624298e-15,True,True
karate,3,confirm,128,0.0001,spectral,0.08641200710745955,0.086412007107461,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",True,1,True,True,2.3144931670350192e-06,6.599775793144497e-15,True,True
karate,3,bond128,128,1e-12,sorted,0.08641200710746022,0.08641200710746022,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603759, 0.9088222515603758]","[0.9952340586678361, 0.995234258667836]",True,1,True,True,2.31449316703504e-06,3.1758788849624298e-15,True,True
karate,3,bond128,128,1e-12,spectral,0.08641200710745955,0.086412007107461,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",True,1,True,True,2.3144931670350192e-06,6.599775793144497e-15,True,True
karate,3,cutoff1e-4,1024,0.0001,sorted,0.08641200710746022,0.08641200710746022,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603759, 0.9088222515603758]","[0.9952340586678361, 0.995234258667836]",True,1,True,True,2.31449316703504e-06,3.1758788849624298e-15,True,True
karate,3,cutoff1e-4,1024,0.0001,spectral,0.08641200710745955,0.086412007107461,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",True,1,True,True,2.3144931670350192e-06,6.599775793144497e-15,True,True
karate,3,cutoff1e-5,1024,1e-05,sorted,0.08641200710746022,0.08641200710746022,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603759, 0.9088222515603758]","[0.9952340586678361, 0.995234258667836]",True,1,True,True,2.31449316703504e-06,3.1758788849624298e-15,True,True
karate,3,cutoff1e-5,1024,1e-05,spectral,0.08641200710745955,0.086412007107461,1,1,0.0,0.0,1e-07,1e-07,2e-07,"[0.9088220515603757, 0.9088222515603755]","[0.9952340586678367, 0.9952342586678365]",True,1,True,True,2.3144931670350192e-06,6.599775793144497e-15,True,True
chesapeake,7,released,64,0.001,sorted,-0.13421359145382505,-0.10866857935604612,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,18.404584028352108,0.10127438848090048,True,True
chesapeake,7,released,64,0.001,spectral,-0.13421359145382672,-0.12179970632876225,-1,-1,1.0,1.0,1.0,1.0,2.0,"[0.0, 1.0]","[0.0, 1.0]",False,,True,False,16.420400839075853,0.0949444775142868,True,True
chesapeake,7,confirm,128,0.0001,sorted,-0.13421359145382505,-0.13603743450894779,-1,-1,0.7895091987429584,0.47564413454702786,0.7895092987429584,0.47564423454702787,1.2651535332899861,"[0.009178386958782037, 1.0]","[0.18700601664576477, 1.0]",False,,True,False,9.300039638771425,0.008052166108894086,True,True
chesapeake,7,confirm,128,0.0001,spectral,-0.13421359145382672,-0.13609917517846248,-1,-1,0.6693108115171038,0.44805143232277667,0.6693109115171038,0.44805153232277667,1.1173624438398804,"[0.12923568913163008, 1.0]","[0.2143958931474947, 1.0]",False,,True,False,8.20991341332318,0.009076765085863737,True,True
chesapeake,7,bond128,128,1e-12,sorted,-0.13421359145382505,-0.13421359163771185,-1,-1,0.0,0.0,1e-07,1e-07,2e-07,"[0.7982930304079402, 0.7982932304079401]","[0.6640794387702283, 0.6640796387702282]",True,-1,True,True,1.4901620436465782e-06,6.692865122017325e-10,True,True
chesapeake,7,bond128,128,1e-12,spectral,-0.13421359145382672,-0.13421359166704583,-1,-1,0.0,0.0,1e-07,1e-07,2e-07,"[0.7982930304060545, 0.7982932304060544]","[0.6640794387390087, 0.6640796387390085]",True,-1,True,True,1.4901620433208855e-06,8.204816039686121e-10,True,True
chesapeake,7,cutoff1e-4,1024,0.0001,sorted,-0.13421359145382505,-0.13603743450894779,-1,-1,0.7895091987429584,0.47564413454702786,0.7895092987429584,0.47564423454702787,1.2651535332899861,"[0.009178386958782037, 1.0]","[0.18700601664576477, 1.0]",False,,True,False,9.300039638771425,0.008052166108894086,True,True
