case,qubits,setting,bond,cutoff,schedule,method,ordering,p_bks_exact,p_bks_mps,actual_bks_error,true_tvd,epsilon_mps,certificate_slack_bks,certificate_slack_tvd,number_of_truncations,sum_discarded_weight,max_discarded_weight,max_bond_seen,runtime_seconds,peak_memory_bytes,circuit_sha256,raw_log_path
karate,3,bond128,128,1e-12,LR,published_lr,sorted,0.9088221515603738,0.9088221515603758,1.9984014443252818e-15,1.5662215177136146e-15,0.0,-1.9984014443252818e-15,-1.5662215177136146e-15,0,0,0.0,2,0.010809300001710653,93908992,16aaef638e6760a26466ae333df17b34cd5348ece69e1ec67624cfe091d17861,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__bond128__published_lr__sorted.mps.log
karate,3,bond128,128,1e-12,LR,published_lr,spectral,0.908822151560374,0.9088221515603756,1.5543122344752192e-15,2.4054820906439095e-15,0.0,-1.5543122344752192e-15,-2.4054820906439095e-15,0,0,0.0,2,0.010854299936909229,94015488,932e6ec682400982adfaf96bbf0ad3e1254e30304217729e0694bbc2f4375960,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__bond128__published_lr__spectral.mps.log
karate,3,bond128,128,1e-12,MR,prior_matched_random,sorted,0.995234158667834,0.995234158667836,1.9984014443252818e-15,1.6096573672488151e-15,0.0,-1.9984014443252818e-15,-1.6096573672488151e-15,0,0,0.0,2,0.010715400043409318,93904896,35a7e1b6ba9d9048981dd77d091e30b86f00d7b6f9e08b141d16718d567a7abe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__bond128__prior_matched_random__sorted.mps.log
karate,3,bond128,128,1e-12,MR,prior_matched_random,spectral,0.9952341586678336,0.9952341586678366,2.9976021664879227e-15,4.194293702500587e-15,0.0,-2.9976021664879227e-15,-4.194293702500587e-15,0,0,0.0,2,0.010856199951376766,93999104,fa012348762c5c8f33a85b9bce1f1986ab4c8ea8ae98d009888d3580162f4123,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__bond128__prior_matched_random__spectral.mps.log
karate,3,confirm,128,0.0001,LR,published_lr,sorted,0.9088221515603738,0.9088221515603758,1.9984014443252818e-15,1.5662215177136146e-15,0.0,-1.9984014443252818e-15,-1.5662215177136146e-15,0,0,0.0,2,0.010591900034341961,93859840,16aaef638e6760a26466ae333df17b34cd5348ece69e1ec67624cfe091d17861,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__confirm__published_lr__sorted.mps.log
karate,3,confirm,128,0.0001,LR,published_lr,spectral,0.908822151560374,0.9088221515603756,1.5543122344752192e-15,2.4054820906439095e-15,0.0,-1.5543122344752192e-15,-2.4054820906439095e-15,0,0,0.0,2,0.010950000025331974,93986816,932e6ec682400982adfaf96bbf0ad3e1254e30304217729e0694bbc2f4375960,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__confirm__published_lr__spectral.mps.log
karate,3,confirm,128,0.0001,MR,prior_matched_random,sorted,0.995234158667834,0.995234158667836,1.9984014443252818e-15,1.6096573672488151e-15,0.0,-1.9984014443252818e-15,-1.6096573672488151e-15,0,0,0.0,2,0.011293800023850054,93831168,35a7e1b6ba9d9048981dd77d091e30b86f00d7b6f9e08b141d16718d567a7abe,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__confirm__prior_matched_random__sorted.mps.log
karate,3,confirm,128,0.0001,MR,prior_matched_random,spectral,0.9952341586678336,0.9952341586678366,2.9976021664879227e-15,4.194293702500587e-15,0.0,-2.9976021664879227e-15,-4.194293702500587e-15,0,0,0.0,2,0.010428100009448826,93900800,fa012348762c5c8f33a85b9bce1f1986ab4c8ea8ae98d009888d3580162f4123,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__confirm__prior_matched_random__spectral.mps.log
karate,3,cutoff1e-4,1024,0.0001,LR,published_lr,sorted,0.9088221515603738,0.9088221515603758,1.9984014443252818e-15,1.5662215177136146e-15,0.0,-1.9984014443252818e-15,-1.5662215177136146e-15,0,0,0.0,2,0.010922700050286949,93888512,16aaef638e6760a26466ae333df17b34cd5348ece69e1ec67624cfe091d17861,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-4__published_lr__sorted.mps.log
karate,3,cutoff1e-4,1024,0.0001,LR,published_lr,spectral,0.908822151560374,0.9088221515603756,1.5543122344752192e-15,2.4054820906439095e-15,0.0,-1.5543122344752192e-15,-2.4054820906439095e-15,0,0,0.0,2,0.010536300018429756,93970432,932e6ec682400982adfaf96bbf0ad3e1254e30304217729e0694bbc2f4375960,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\karate__cutoff1e-4__published_lr__spectral.mps.log
